year	month	day	site	ditch
2006	10	17	13	245
2006	10	20	14	219
2006	10	16	15	81
2006	10	16	16	81
2006	10	13	17	108
2006	10	18	18	74
2006	10	18	19	74
2006	10	17	20	.
2006	10	18	21	301
2006	10	17	22	113.5
2006	11	21	1	336
2006	11	23	2	219
2006	11	18	3	0
2006	11	20	4	87
2006	11	.	5	.
2006	11	20	6	103
2006	11	21	7	305
2006	11	21	8	419
2006	11	21	9	185
2006	11	22	10	313
2006	11	22	11	114
2006	11	22	12	114
2006	11	21	13	175
2006	11	21	14	232
2006	11	20	15	87
2006	11	20	16	87
2006	11	21	17	100
2006	11	22	18	203
2006	11	22	19	203
2006	11	21	20	255
2006	11	22	21	299
2006	11	18	22	112
2006	12	18	1	357.5
2006	12	21	2	239
2006	12	18	3	46
2006	12	18	4	87.5
2006	12	.	5	.
2006	12	18	6	103.5
2006	12	18	7	435
2006	12	18	8	410
2006	12	19	9	.
2006	12	18	10	357.5
2006	12	18	11	115
2006	12	18	12	115
2006	12	18	13	280
2006	12	21	14	230
2006	12	18	15	87.5
2006	12	18	16	87.5
2006	12	18	17	103.5
2006	12	18	18	213
2006	12	18	19	213
2006	12	18	20	280
2006	12	18	21	357.5
2006	12	16	22	118.5
2007	1	18	1	367
2007	1	16	2	241
2007	1	18	3	40.5
2007	1	16	4	87
2007	1	.	5	.
2007	1	17	6	103
2007	1	16	7	435
2007	1	16	8	400
2007	1	18	9	.
2007	1	16	10	359
2007	1	16	11	117
2007	1	17	12	114
2007	1	16	13	281.5
2007	1	16	14	232
2007	1	16	15	87
2007	1	16	16	87
2007	1	17	17	103
2007	1	18	18	216
2007	1	18	19	216
2007	1	16	20	295
2007	1	16	21	323
2007	1	13	22	118.5
2007	2	20	1	366
2007	2	20	2	242
2007	2	20	3	36
2007	2	20	4	85
2007	2	.	5	.
2007	2	22	6	102
2007	2	20	7	440
2007	2	21	8	314.5
2007	2	22	9	.
2007	2	22	10	366
2007	2	20	11	119
2007	2	22	12	121
2007	2	20	13	296
2007	2	21	14	232
2007	2	20	15	91
2007	2	20	16	88
2007	2	21	17	105
2007	2	20	18	224.5
2007	2	20	19	224.5
2007	2	22	20	263
2007	2	21	21	314
2007	2	17	22	121
2007	3	21	1	347
2007	3	20	2	215
2007	3	20	3	58
2007	3	19	4	70
2007	3	.	5	.
2007	3	20	6	104
2007	3	20	7	383.5
2007	3	20	8	352
2007	3	22	9	.
2007	3	21	10	347
2007	3	20	11	114
2007	3	22	12	120
2007	3	27	13	219
2007	3	21	14	184
2007	3	19	15	71
2007	3	19	16	70
2007	3	20	17	104
2007	3	20	18	96.5
2007	3	20	19	96.5
2007	3	20	20	254
2007	3	22	21	345
2007	3	17	22	118
2007	3	20	23	.
2007	4	19	1	340
2007	4	17	2	216
2007	4	17	3	34
2007	4	16	4	74
2007	4	.	5	.
2007	4	18	6	.
2007	4	17	7	337
2007	4	17	8	360
2007	4	19	9	.
2007	4	19	10	340
2007	4	17	11	112
2007	4	18	12	115
2007	4	17	13	238.5
2007	4	17	14	153.5
2007	4	16	15	79
2007	4	16	16	79
2007	4	16	17	95
2007	4	17	18	76
2007	4	17	19	76
2007	4	17	20	.
2007	4	17	21	302
2007	4	14	22	117
2007	4	17	23	.
2007	5	14	1	336
2007	5	15	2	215
2007	5	15	3	36
2007	5	14	4	79
2007	5	15	5	.
2007	5	16	6	94
2007	5	15	7	253
2007	5	15	8	348
2007	5	17	9	170
2007	5	17	10	335
2007	5	15	11	112
2007	5	16	12	114
2007	5	21	13	210
2007	5	23	14	151
2007	5	14	15	81
2007	5	14	16	81
2007	5	17	17	95
2007	5	17	18	93.5
2007	5	17	19	93.5
2007	5	15	20	257
2007	5	17	21	304
2007	5	12	22	116
2007	5	15	23	.
2007	6	19	1	329.5
2007	6	19	2	215
2007	6	19	3	19
2007	6	18	4	78.5
2007	6	.	5	.
2007	6	20	6	112
2007	6	19	7	364
2007	6	19	8	338
2007	6	21	9	.
2007	6	20	10	329.5
2007	6	20	11	114
2007	6	19	12	114
2007	6	18	13	244
2007	6	19	14	162
2007	6	18	15	78.5
2007	6	18	16	78.5
2007	6	20	17	112
2007	6	21	18	95
2007	6	21	19	95
2007	6	19	20	249
2007	6	20	21	329.5
2007	6	16	22	116
2007	6	19	23	.
2007	7	17	1	330
2007	7	17	2	211
2007	7	17	3	-4
2007	7	17	4	100
2007	7	.	5	.
2007	7	18	6	103
2007	7	17	7	371
2007	7	18	8	339
2007	7	19	9	168
2007	7	17	10	330
2007	7	17	11	113
2007	7	17	12	113
2007	7	16	13	247
2007	7	17	14	169
2007	7	17	15	84.5
2007	7	17	16	84.5
2007	7	18	17	103
2007	7	19	18	152.5
2007	7	19	19	152.5
2007	7	17	20	240
2007	7	17	21	330
2007	7	14	22	117.5
2007	7	17	23	.
2007	8	20	1	327.5
2007	8	21	2	209
2007	8	21	3	-6.8
2007	8	20	4	90
2007	8	.	5	.
2007	8	20	6	102
2007	8	23	7	380
2007	8	23	8	356
2007	8	23	9	166
2007	8	22	10	327.5
2007	8	22	11	116
2007	8	21	12	116
2007	8	22	13	228
2007	8	21	14	.
2007	8	20	15	90
2007	8	20	16	90
2007	8	20	17	102
2007	8	23	18	160
2007	8	23	19	160
2007	8	21	20	239
2007	8	22	21	327.5
2007	8	22	22	116
2007	8	21	23	158
2007	9	18	1	331.5
2007	9	17	2	206
2007	9	18	3	6
2007	9	17	4	93
2007	9	.	5	.
2007	9	18	6	93.5
2007	9	18	7	382
2007	9	18	8	350
2007	9	20	9	.
2007	9	19	10	331
2007	9	17	11	116
2007	9	18	12	117
2007	9	19	13	227
2007	9	18	14	170
2007	9	17	15	93
2007	9	17	16	93
2007	9	17	17	104.5
2007	9	20	18	81
2007	9	20	19	81
2007	9	18	20	228
2007	9	19	21	331.5
2007	9	15	22	121
2007	9	19	23	166.5
2007	10	17	1	338
2007	10	16	2	290
2007	10	16	3	28
2007	10	15	4	83
2007	10	.	5	.
2007	10	16	6	94
2007	10	16	7	392
2007	10	16	8	356
2007	10	18	9	.
2007	10	16	10	337
2007	10	16	11	115
2007	10	16	12	120
2007	10	17	13	227
2007	10	16	14	185
2007	10	15	15	87
2007	10	15	16	90
2007	10	17	17	98
2007	10	18	18	91
2007	10	18	19	91
2007	10	16	20	267
2007	10	18	21	303.5
2007	10	13	22	117
2007	10	18	23	172.5
2007	11	20	1	352
2007	11	20	2	233
2007	11	20	3	68
2007	11	19	4	82
2007	11	19	5	.
2007	11	19	6	103.5
2007	11	20	7	302
2007	11	20	8	261
2007	11	20	9	.
2007	11	20	10	354.5
2007	11	20	11	115
2007	11	20	12	122
2007	11	21	13	282
2007	11	20	14	.
2007	11	19	15	87
2007	11	19	16	85
2007	11	19	17	102
2007	11	17	18	209.5
2007	11	17	19	209.5
2007	11	20	20	267
2007	11	20	21	317
2007	11	17	22	129
2007	11	20	23	.
2007	12	17	1	357
2007	12	18	2	235
2007	12	18	3	88
2007	12	17	4	80
2007	12	.	5	.
2007	12	19	6	102
2007	12	17	7	301.5
2007	12	18	8	259
2007	12	20	9	182
2007	12	17	10	357
2007	12	18	11	114
2007	12	18	12	117
2007	12	19	13	286
2007	12	18	14	224.5
2007	12	17	15	81
2007	12	17	16	81
2007	12	19	17	102
2007	12	18	18	210.5
2007	12	18	19	210.5
2007	12	17	20	274
2007	12	17	21	320
2007	12	15	22	118.5
2007	12	20	23	201
2008	1	16	1	360.5
2008	1	14	2	245
2008	1	15	3	66
2008	1	14	4	83
2008	1	.	5	.
2008	1	15	6	103
2008	1	15	7	301
2008	1	16	8	400
2008	1	17	9	.
2008	1	17	10	358.5
2008	1	17	11	114
2008	1	15	12	116.5
2008	1	16	13	291
2008	1	15	14	219
2008	1	14	15	86
2008	1	14	16	86
2008	1	15	17	100
2008	1	17	18	210.5
2008	1	17	19	210.5
2008	1	17	20	270.5
2008	1	16	21	319.5
2008	1	12	22	218
2008	1	22	23	.
2008	2	20	1	358
2008	2	19	2	240.5
2008	2	19	3	66
2008	2	18	4	81
2008	2	.	5	.
2008	2	21	6	100.5
2008	2	19	7	.
2008	2	20	8	.
2008	2	26	9	.
2008	2	19	10	359
2008	2	19	11	114
2008	2	19	12	115
2008	2	20	13	279
2008	2	22	14	220
2008	2	18	15	86
2008	2	18	16	86
2008	2	19	17	100
2008	2	21	18	214
2008	2	21	19	214
2008	2	20	20	271
2008	2	20	21	322
2008	2	16	22	121
2008	2	21	23	200
2008	2	19	24	.
2008	3	17	1	342
2008	3	18	2	208.5
2008	3	18	3	67
2008	3	17	4	78
2008	3	.	5	.
2008	3	19	6	88.5
2008	3	18	7	.
2008	3	19	8	240
2008	3	20	9	.
2008	3	17	10	342
2008	3	18	11	112.5
2008	3	18	12	116.5
2008	3	19	13	213
2008	3	18	14	188
2008	3	17	15	68
2008	3	17	16	68
2008	3	19	17	88.5
2008	3	20	18	145.5
2008	3	20	19	145.5
2008	3	19	20	.
2008	3	17	21	308
2008	3	20	22	113.5
2008	3	20	23	158
2008	3	18	24	.
2008	4	16	1	336
2008	4	15	2	206
2008	4	15	3	3.5
2008	4	14	4	71
2008	4	.	5	.
2008	4	18	6	94
2008	4	15	7	341.5
2008	4	16	8	329
2008	4	17	9	160
2008	4	16	10	336
2008	4	14	11	114
2008	4	15	12	114
2008	4	16	13	220
2008	4	15	14	140
2008	4	14	15	73
2008	4	14	16	73
2008	4	14	17	92.5
2008	4	17	18	90
2008	4	17	19	90
2008	4	18	20	234
2008	4	15	21	302
2008	4	11	22	.
2008	4	17	23	163
2008	4	17	24	.
2008	5	21	1	342
2008	5	20	2	207
2008	5	20	3	20
2008	5	19	4	67
2008	5	.	5	.
2008	5	22	6	87
2008	5	20	7	350
2008	5	19	8	340
2008	5	21	9	.
2008	5	20	10	.
2008	5	21	11	116.5
2008	5	20	12	115
2008	5	21	13	245
2008	5	21	14	.
2008	5	19	15	68.5
2008	5	19	16	68.5
2008	5	22	17	87
2008	5	21	18	95
2008	5	21	19	95
2008	5	19	20	230
2008	5	20	21	330
2008	5	20	22	115
2008	5	21	23	174
2008	5	20	24	.
2008	6	17	1	313
2008	6	17	2	203
2008	6	17	3	-3
2008	6	17	4	75
2008	6	.	5	.
2008	6	18	6	91
2008	6	17	7	359
2008	6	17	8	212
2008	6	19	9	.
2008	6	17	10	313
2008	6	17	11	114
2008	6	17	12	114
2008	6	18	13	245
2008	6	17	14	161
2008	6	17	15	75
2008	6	17	16	75
2008	6	19	17	91
2008	6	17	18	89
2008	6	17	19	89
2008	6	16	20	223
2008	6	17	21	294
2008	6	17	22	114
2008	6	19	23	161
2008	6	17	24	.
2008	7	15	1	303.5
2008	7	15	2	203
2008	7	15	3	21
2008	7	15	4	80
2008	7	15	5	.
2008	7	16	6	99
2008	7	15	7	372.5
2008	7	16	8	332
2008	7	17	9	178
2008	7	15	10	303.5
2008	7	15	11	115
2008	7	15	12	117
2008	7	16	13	247
2008	7	15	14	181.5
2008	7	15	15	80
2008	7	15	16	80
2008	7	15	17	84.4
2008	7	15	18	86
2008	7	15	19	86
2008	7	14	20	218
2008	7	15	21	285
2008	7	15	22	115
2008	7	17	23	159
2008	7	15	24	.
2008	8	20	1	334.5
2008	8	20	2	216
2008	8	19	3	29.5
2008	8	19	4	75
2008	8	19	5	.
2008	8	19	6	91
2008	8	19	7	366
2008	8	20	8	295
2008	8	.	9	.
2008	8	20	10	334.5
2008	8	20	11	119
2008	8	18	12	118
2008	8	20	13	227
2008	8	19	14	175
2008	8	19	15	75
2008	8	19	16	75
2008	8	19	17	91
2008	8	21	18	86
2008	8	21	19	86
2008	8	21	20	246
2008	8	20	21	301.5
2008	8	20	22	119
2008	8	21	23	170
2008	8	19	24	.
2008	9	19	1	338
2008	9	16	2	214
2008	9	15	3	22
2008	9	16	4	87.5
2008	9	17	5	.
2008	9	16	6	93
2008	9	16	7	383.5
2008	9	17	8	332
2008	9	17	9	180
2008	9	16	10	339
2008	9	18	11	.
2008	9	15	12	123
2008	9	16	13	234.5
2008	9	17	14	280
2008	9	16	15	87.5
2008	9	16	16	87.5
2008	9	15	17	90.5
2008	9	16	18	88.5
2008	9	16	19	88.5
2008	9	17	20	245
2008	9	17	21	302.5
2008	9	20	22	117
2008	9	17	23	174
2008	9	16	24	.
2008	10	23	1	351
2008	10	21	2	217
2008	10	20	3	40
2008	10	21	4	89
2008	10	23	5	.
2008	10	20	6	65
2008	10	21	7	376
2008	10	22	8	336
2008	10	22	9	283
2008	10	21	10	338
2008	10	23	11	.
2008	10	20	12	114
2008	10	21	13	215
2008	10	22	14	.
2008	10	21	15	87
2008	10	21	16	87
2008	10	22	17	65
2008	10	21	18	82.5
2008	10	21	19	82.5
2008	10	24	20	247
2008	10	21	21	304
2008	10	25	22	114
2008	10	22	23	172
2008	10	21	24	.
2008	10	21	25	87
2008	11	18	1	352
2008	11	19	2	136
2008	11	17	3	54.5
2008	11	18	4	87
2008	11	.	5	.
2008	11	19	6	84
2008	11	18	7	294
2008	11	19	8	387
2008	11	19	9	176
2008	11	20	10	355
2008	11	20	11	117
2008	11	17	12	114
2008	11	18	13	270
2008	11	17	14	239
2008	11	18	15	87
2008	11	18	16	87
2008	11	18	17	81
2008	11	18	18	223
2008	11	18	19	223
2008	11	21	20	290
2008	11	19	21	319
2008	11	22	22	118
2008	11	19	23	206
2008	11	18	24	.
2008	11	18	25	.
2008	12	18	1	358.5
2008	12	17	2	237.5
2008	12	15	3	61
2008	12	16	4	87
2008	12	.	5	.
2008	12	17	6	86
2008	12	16	7	296
2008	12	17	8	390
2008	12	17	9	.
2008	12	17	10	356
2008	12	17	11	114
2008	12	15	12	114
2008	12	17	13	276
2008	12	17	14	236
2008	12	16	15	87
2008	12	16	16	87
2008	12	19	17	85
2008	12	15	18	225
2008	12	15	19	225
2008	12	17	20	287
2008	12	16	21	322.5
2008	12	15	22	114
2008	12	17	23	203.5
2008	12	19	24	.
2008	12	16	25	87
2009	1	20	1	350.5
2009	1	20	2	234
2009	1	20	3	51
2009	1	20	4	87
2009	1	21	5	.
2009	1	21	6	93
2009	1	20	7	295
2009	1	20	8	385
2009	1	21	9	.
2009	1	20	10	350.5
2009	1	22	11	115.5
2009	1	19	12	120
2009	1	20	13	176
2009	1	22	14	230.5
2009	1	20	15	84
2009	1	20	16	84
2009	1	21	17	92
2009	1	22	18	211.5
2009	1	22	19	211.5
2009	1	23	20	282.5
2009	1	22	21	314.5
2009	1	24	22	117
2009	1	21	23	210
2009	1	20	24	.
2009	1	20	25	84
2009	2	18	1	352
2009	2	17	2	237
2009	2	18	3	59
2009	2	16	4	93
2009	2	.	5	.
2009	2	17	6	129
2009	2	17	7	300
2009	2	17	8	380
2009	2	18	9	0
2009	2	19	10	353
2009	2	19	11	112
2009	2	16	12	112
2009	2	17	13	281.5
2009	2	18	14	222.5
2009	2	17	15	89
2009	2	17	16	89
2009	2	17	17	129
2009	2	19	18	211.5
2009	2	19	19	211.5
2009	2	20	20	288
2009	2	18	21	317
2009	2	21	22	113
2009	2	19	23	202
2009	2	17	24	.
2009	2	17	25	89
2009	3	17	1	345
2009	3	17	2	219
2009	3	17	3	31
2009	3	17	4	81.7
2009	3	.	5	.
2009	3	17	6	114
2009	3	17	7	365
2009	3	17	8	230
2009	3	18	9	.
2009	3	17	10	345
2009	3	19	11	113
2009	3	16	12	114
2009	3	17	13	232
2009	3	18	14	.
2009	3	17	15	82.5
2009	3	17	16	85
2009	3	17	17	114
2009	3	18	18	58
2009	3	18	19	58
2009	3	20	20	261
2009	3	15	21	310
2009	3	17	22	116
2009	3	18	23	270
2009	3	17	24	.
2009	3	17	25	82.5
2009	4	22	1	331
2009	4	21	2	206
2009	4	20	3	20
2009	4	21	4	83
2009	4	22	5	.
2009	4	21	6	106
2009	4	21	7	365
2009	4	21	8	325
2009	4	22	9	185
2009	4	23	10	331
2009	4	23	11	105.5
2009	4	20	12	116
2009	4	21	13	263
2009	4	22	14	167.5
2009	4	21	15	84
2009	4	21	16	84
2009	4	21	17	106
2009	4	23	18	91
2009	4	23	19	91
2009	4	24	20	251
2009	4	22	21	299
2009	4	25	22	112
2009	4	23	23	169
2009	4	24	24	.
2009	4	23	25	83
2009	5	19	1	310
2009	5	19	2	198
2009	5	18	3	-2
2009	5	19	4	74
2009	5	.	5	.
2009	5	18	6	112
2009	5	19	7	353
2009	5	19	8	228
2009	5	21	9	.
2009	5	20	10	312
2009	5	21	11	150
2009	5	18	12	112
2009	5	19	13	223.5
2009	5	19	14	164
2009	5	19	15	74
2009	5	19	16	74
2009	5	18	17	112
2009	5	21	18	87.5
2009	5	21	19	87.5
2009	5	19	20	223
2009	5	19	21	293
2009	5	21	22	150
2009	5	21	23	153.5
2009	5	.	24	.
2009	5	19	25	74
2009	6	16	1	299.5
2009	6	16	2	204
2009	6	15	3	1
2009	6	16	4	81
2009	6	16	5	.
2009	6	16	6	113
2009	6	18	7	372
2009	6	16	8	318
2009	6	17	9	.
2009	6	17	10	297
2009	6	16	11	118
2009	6	16	12	118
2009	6	17	13	238
2009	6	18	14	170
2009	6	16	15	81
2009	6	16	16	81
2009	6	16	17	113
2009	6	16	18	91
2009	6	16	19	91
2009	6	16	20	255
2009	6	17	21	297
2009	6	16	22	118
2009	6	18	23	155
2009	6	.	24	.
2009	6	16	25	81
2009	7	21	1	315.5
2009	7	21	2	211
2009	7	20	3	-1
2009	7	21	4	96
2009	7	21	5	.
2009	7	21	6	113
2009	7	23	7	399
2009	7	21	8	326
2009	7	22	9	.
2009	7	22	10	317
2009	7	21	11	116
2009	7	21	12	116
2009	7	22	13	236
2009	7	23	14	166
2009	7	21	15	97
2009	7	21	16	97
2009	7	21	17	113
2009	7	21	18	82
2009	7	21	19	82
2009	7	21	20	250
2009	7	22	21	317
2009	7	21	22	116
2009	7	23	23	155
2009	7	20	24	.
2009	7	21	25	97
2009	8	17	1	327.5
2009	8	16	2	193
2009	8	17	3	0
2009	8	18	4	.
2009	8	19	5	.
2009	8	20	6	118
2009	8	18	7	357
2009	8	20	8	320
2009	8	18	9	.
2009	8	17	10	327.5
2009	8	20	11	119
2009	8	20	12	119
2009	8	16	13	234
2009	8	18	14	157.5
2009	8	18	15	87
2009	8	18	16	87
2009	8	21	17	121
2009	8	18	18	80.5
2009	8	18	19	80.5
2009	8	21	20	248
2009	8	17	21	327.5
2009	8	20	22	119
2009	8	19	23	158
2009	8	18	24	.
2009	8	18	25	87
2009	9	15	1	327
2009	9	15	2	201.5
2009	9	14	3	-25
2009	9	15	4	82
2009	9	.	5	.
2009	9	14	6	116.5
2009	9	16	7	347
2009	9	15	8	319
2009	9	16	9	.
2009	9	18	10	328
2009	9	14	11	116
2009	9	14	12	116
2009	9	14	13	235.5
2009	9	14	14	160
2009	9	15	15	82
2009	9	15	16	82
2009	9	15	17	118.5
2009	9	18	18	71.5
2009	9	18	19	71.5
2009	9	18	20	230
2009	9	14	21	301
2009	9	19	22	116
2009	9	15	23	156
2009	9	15	24	.
2009	9	15	25	82
2009	10	21	1	333
2009	10	20	2	221
2009	10	19	3	5
2009	10	20	4	85
2009	10	.	5	.
2009	10	20	6	96
2009	10	21	7	349.5
2009	10	20	8	334
2009	10	23	9	.
2009	10	20	10	337
2009	10	21	11	115
2009	10	19	12	116
2009	10	22	13	231
2009	10	19	14	.
2009	10	20	15	85
2009	10	20	16	85
2009	10	19	17	97
2009	10	21	18	96
2009	10	21	19	96.5
2009	10	23	20	278
2009	10	22	21	336
2009	10	24	22	116
2009	10	20	23	165.5
2009	10	20	24	.
2009	10	20	25	85
2009	11	19	1	352
2009	11	17	2	232.5
2009	11	16	3	58
2009	11	17	4	83
2009	11	16	5	.
2009	11	17	6	122
2009	11	18	7	301
2009	11	17	8	386
2009	11	19	9	.
2009	11	17	10	353
2009	11	18	11	118
2009	11	16	12	118
2009	11	16	13	271
2009	11	16	14	228.5
2009	11	17	15	84
2009	11	17	16	84
2009	11	18	17	122
2009	11	18	18	203
2009	11	18	19	203
2009	11	16	20	275
2009	11	19	21	354
2009	11	21	22	117
2009	11	17	23	201.5
2009	11	17	24	.
2009	11	17	25	84
2009	12	15	1	358
2009	12	15	2	239
2009	12	14	3	58.5
2009	12	15	4	81
2009	12	18	5	.
2009	12	18	6	103
2009	12	16	7	303
2009	12	15	8	386
2009	12	16	9	.
2009	12	16	10	358
2009	12	16	11	116
2009	12	14	12	115.5
2009	12	15	13	275
2009	12	14	14	321
2009	12	15	15	81
2009	12	15	16	81
2009	12	15	17	102
2009	12	15	18	208
2009	12	15	19	208
2009	12	14	20	287.5
2009	12	16	21	354
2009	12	16	22	116.5
2009	12	16	23	200.5
2009	12	15	24	.
2009	12	15	25	86
2010	1	19	1	358
2010	1	19	2	240
2010	1	20	3	62
2010	1	19	4	85
2010	1	22	5	.
2010	1	21	6	92
2010	1	20	7	434
2010	1	19	8	379
2010	1	19	9	.
2010	1	20	10	358
2010	1	20	11	120
2010	1	20	12	116.5
2010	1	20	13	274
2010	1	20	14	309
2010	1	19	15	85
2010	1	19	16	85
2010	1	21	17	92
2010	1	22	18	212
2010	1	22	19	212
2010	1	22	20	288
2010	1	21	21	362
2010	1	24	22	116.5
2010	1	19	23	199
2010	1	19	24	.
2010	1	19	25	85
2010	2	16	1	363
2010	2	16	2	241
2010	2	16	3	64
2010	2	16	4	.
2010	2	.	5	.
2010	2	19	6	102
2010	2	17	7	397.5
2010	2	18	8	369
2010	2	18	9	.
2010	2	16	10	363
2010	2	17	11	109
2010	2	16	12	212
2010	2	17	13	279
2010	2	17	14	319
2010	2	16	15	85
2010	2	16	16	85
2010	2	17	17	100
2010	2	16	18	211.5
2010	2	16	19	211.5
2010	2	19	20	291
2010	2	18	21	359
2010	2	20	22	168
2010	2	16	23	203.5
2010	2	16	24	.
2010	2	16	25	85
2010	3	15	1	348
2010	3	15	2	213.5
2010	3	15	3	35.5
2010	3	16	4	88
2010	3	17	5	.
2010	3	16	6	99.5
2010	3	18	7	404
2010	3	16	8	323
2010	3	16	9	.
2010	3	15	10	348
2010	3	18	11	89.5
2010	3	18	12	89.5
2010	3	17	13	230.5
2010	3	16	14	178
2010	3	16	15	88
2010	3	16	16	88
2010	3	15	17	101
2010	3	17	18	94
2010	3	17	19	94
2010	3	15	20	261
2010	3	18	21	354.5
2010	3	18	22	89.5
2010	3	18	23	172
2010	3	18	24	.
2010	3	16	25	88
2010	4	19	1	339.5
2010	4	20	2	206
2010	4	20	3	24
2010	4	20	4	.
2010	4	23	5	.
2010	4	20	6	69
2010	4	19	7	340.5
2010	4	21	8	322.5
2010	4	22	9	188
2010	4	20	10	338.5
2010	4	21	11	115
2010	4	19	12	115
2010	4	21	13	230
2010	4	19	14	140
2010	4	20	15	75
2010	4	20	16	75
2010	4	23	17	71
2010	4	20	18	87.5
2010	4	20	19	87.5
2010	4	23	20	262
2010	4	22	21	343
2010	4	24	22	117
2010	4	20	23	.
2010	4	19	24	.
2010	4	20	25	75
2010	5	19	1	328
2010	5	18	2	201
2010	5	17	3	-96
2010	5	.	4	.
2010	5	17	5	.
2010	5	19	6	86
2010	5	19	7	323
2010	5	20	8	223
2010	5	18	9	163
2010	5	19	10	328
2010	5	20	11	114
2010	5	20	12	114
2010	5	19	13	233
2010	5	19	14	260
2010	5	18	15	62
2010	5	18	16	62
2010	5	19	17	86
2010	5	20	18	88
2010	5	20	19	88
2010	5	21	20	261
2010	5	21	21	330
2010	5	20	22	114
2010	5	20	23	.
2010	5	19	24	.
2010	5	18	25	62
2010	6	16	1	324.5
2010	6	16	2	210
2010	6	17	3	.
2010	6	15	4	89.5
2010	6	15	5	.
2010	6	17	6	114
2010	6	14	7	351
2010	6	16	8	320
2010	6	17	9	54.5
2010	6	16	10	323
2010	6	15	11	116
2010	6	15	12	116
2010	6	16	13	240
2010	6	14	14	159
2010	6	16	15	78
2010	6	15	16	89.5
2010	6	18	17	112.5
2010	6	15	18	90.5
2010	6	15	19	90.5
2010	6	17	20	267
2010	6	15	21	327
2010	6	15	22	116
2010	6	17	23	164.5
2010	6	18	24	.
2010	6	15	25	89.5
2010	7	21	1	340
2010	7	21	2	218.5
2010	7	22	3	22
2010	7	20	4	93
2010	7	20	5	.
2010	7	22	6	120
2010	7	19	7	402
2010	7	21	8	324
2010	7	22	9	45
2010	7	21	10	341
2010	7	20	11	110
2010	7	20	12	110
2010	7	21	13	249
2010	7	19	14	168
2010	7	20	15	97.5
2010	7	20	16	97.5
2010	7	23	17	134
2010	7	20	18	88
2010	7	20	19	88
2010	7	22	20	267
2010	7	20	21	304
2010	7	20	22	110
2010	7	22	23	159.5
2010	7	22	24	.
2010	7	20	25	97.5
2010	8	17	1	327
2010	8	18	2	208.5
2010	8	16	3	5
2010	8	17	4	79
2010	8	17	5	.
2010	8	19	6	103
2010	8	19	7	370
2010	8	20	8	333
2010	8	17	9	47.5
2010	8	17	10	327
2010	8	16	11	116
2010	8	16	12	116
2010	8	18	13	227
2010	8	19	14	162.5
2010	8	17	15	82
2010	8	17	16	82
2010	8	16	17	112.5
2010	8	20	18	86
2010	8	20	19	86
2010	8	20	20	261
2010	8	16	21	323
2010	8	16	22	116
2010	8	18	23	.
2010	8	20	24	.
2010	8	19	25	92.5
2010	9	21	1	330
2010	9	21	2	205
2010	9	20	3	-18
2010	9	21	4	90
2010	9	24	5	.
2010	9	21	6	100.5
2010	9	22	7	393
2010	9	22	8	317
2010	9	23	9	.
2010	9	22	10	330
2010	9	22	11	116.5
2010	9	20	12	117
2010	9	23	13	224
2010	9	22	14	169
2010	9	21	15	89
2010	9	21	16	89
2010	9	20	17	106
2010	9	24	18	95
2010	9	24	19	95
2010	9	24	20	.
2010	9	23	21	320
2010	9	25	22	115
2010	9	23	23	.
2010	9	23	24	.
2010	9	20	25	93
2010	10	20	1	334
2010	10	19	2	206
2010	10	18	3	19
2010	10	19	4	90
2010	10	18	5	.
2010	10	18	6	99
2010	10	20	7	391
2010	10	22	8	322
2010	10	20	9	165
2010	10	21	10	323
2010	10	20	11	98
2010	10	18	12	97
2010	10	20	13	149
2010	10	20	14	272
2010	10	19	15	93
2010	10	19	16	93
2010	10	19	17	99
2010	10	22	18	96.5
2010	10	22	19	96.5
2010	10	22	20	259
2010	10	21	21	323
2010	10	23	22	118
2010	10	21	23	143
2010	10	20	24	.
2010	10	19	25	93
2010	11	18	1	352
2010	11	16	2	221
2010	11	17	3	55
2010	11	16	4	91
2010	11	15	5	.
2010	11	17	6	108
2010	11	17	7	302.5
2010	11	19	8	266
2010	11	18	9	.
2010	11	16	10	352
2010	11	17	11	116
2010	11	15	12	118
2010	11	17	13	275
2010	11	17	14	277
2010	11	16	15	81
2010	11	16	16	81
2010	11	15	17	107.5
2010	11	19	18	211
2010	11	19	19	211
2010	11	19	20	282
2010	11	18	21	353
2010	11	20	22	117.5
2010	11	18	23	.
2010	11	15	24	.
2010	11	16	25	80
2010	12	20	1	348
2010	12	21	2	235
2010	12	20	3	53
2010	12	21	4	98
2010	12	21	5	.
2010	12	20	6	113
2010	12	20	7	434.5
2010	12	21	8	269
2010	12	22	9	.
2010	12	20	10	348
2010	12	20	11	111
2010	12	20	12	111
2010	12	21	13	279
2010	12	20	14	239
2010	12	21	15	98
2010	12	21	16	98
2010	12	20	17	113
2010	12	20	18	206.5
2010	12	20	19	206.5
2010	12	21	20	286
2010	12	20	21	351
2010	12	20	22	111
2010	12	20	23	198
2010	12	21	24	.
2010	12	21	25	98
2011	1	19	1	348
2011	1	18	2	239
2011	1	21	3	48
2011	1	18	4	.
2011	1	19	5	.
2011	1	18	6	111
2011	1	19	7	399
2011	1	21	8	395
2011	1	20	9	.
2011	1	18	10	347
2011	1	19	11	113
2011	1	20	12	103
2011	1	19	13	283
2011	1	19	14	319
2011	1	18	15	.
2011	1	18	16	.
