year	month	day	site	ditch
2002	1	25	8	.
2002	2	19	1	.
2002	2	19	2	.
2002	2	19	3	.
2002	2	18	4	.
2002	2	19	5	.
2002	2	19	6	.
2002	2	19	7	.
2002	2	19	8	.
2002	3	19	1	.
2002	3	20	2	.
2002	3	19	3	.
2002	3	19	4	.
2002	3	19	5	.
2002	3	20	6	.
2002	3	20	7	.
2002	3	20	8	.
2002	4	17	1	.
2002	4	17	2	.
2002	4	16	3	.
2002	4	16	4	.
2002	4	17	5	.
2002	4	17	6	.
2002	4	16	7	.
2002	4	16	8	.
2002	4	18	9	.
2002	5	22	1	.
2002	5	15	2	.
2002	5	22	3	.
2002	5	21	4	.
2002	5	.	5	.
2002	5	23	6	.
2002	5	21	7	.
2002	5	21	8	.
2002	5	.	9	.
2002	6	19	1	351
2002	6	18	2	.
2002	6	18	3	.
2002	6	19	4	.
2002	6	18	5	.
2002	6	18	6	.
2002	6	18	7	.
2002	6	18	8	.
2002	6	20	9	.
2002	7	16	1	351
2002	7	16	2	.
2002	7	16	3	.
2002	7	16	4	.
2002	7	16	5	.
2002	7	16	6	.
2002	7	17	7	.
2002	7	17	8	.
2002	7	17	9	.
2002	7	16	10	.
2002	8	.	1	.
2002	8	20	2	.
2002	8	20	3	.
2002	8	19	4	.
2002	8	21	5	.
2002	8	21	6	.
2002	8	20	7	.
2002	8	16	8	.
2002	8	22	9	.
2002	8	22	10	356
2002	9	17	1	.
2002	9	17	2	.
2002	9	17	3	.
2002	9	17	4	.
2002	9	17	5	.
2002	9	18	6	.
2002	9	17	7	414
2002	9	17	8	349
2002	9	19	9	.
2002	9	.	10	.
2002	10	16	1	.
2002	10	15	2	200
2002	10	15	3	.
2002	10	15	4	.
2002	10	.	5	.
2002	10	15	6	.
2002	10	16	7	392
2002	10	16	8	317
2002	10	17	9	.
2002	10	15	10	340
2002	10	16	11	.
2002	11	19	1	372.5
2002	11	20	2	131
2002	11	19	3	.
2002	11	19	4	98
2002	11	.	5	.
2002	11	19	6	.
2002	11	20	7	441
2002	11	20	8	385
2002	11	21	9	.
2002	11	19	10	372
2002	11	19	11	.
2002	11	19	12	.
2002	12	18	1	376
2002	12	.	2	.
2002	12	17	3	.
2002	12	17	4	98
2002	12	18	5	.
2002	12	17	6	137
2002	12	18	7	420
2002	12	17	8	.
2002	12	19	9	.
2002	12	18	10	376
2002	12	17	11	.
2002	12	17	12	.
2003	1	21	1	.
2003	1	.	2	.
2003	1	21	3	58
2003	1	21	4	98
2003	1	21	5	.
2003	1	21	6	133
2003	1	21	7	442
2003	1	21	8	387
2003	1	23	9	.
2003	1	22	10	275
2003	1	21	11	.
2003	1	21	12	.
2003	2	18	1	.
2003	2	18	2	239
2003	2	18	3	57.5
2003	2	18	4	96
2003	2	19	5	.
2003	2	19	6	137
2003	2	18	7	433
2003	2	18	8	379
2003	2	20	9	.
2003	2	19	10	453
2003	2	18	11	.
2003	2	18	12	.
2003	3	18	1	371
2003	3	.	2	.
2003	3	18	3	13
2003	3	18	4	86
2003	3	18	5	.
2003	3	18	6	126
2003	3	.	7	437
2003	3	18	8	317
2003	3	20	9	.
2003	3	18	10	370
2003	3	18	11	.
2003	3	18	12	.
2003	4	15	1	356
2003	4	.	2	.
2003	4	15	3	31.5
2003	4	15	4	97.5
2003	4	.	5	.
2003	4	17	6	135
2003	4	16	7	436
2003	4	15	8	328
2003	4	16	9	.
2003	4	15	10	356
2003	4	16	11	.
2003	4	16	12	.
2003	4	11	13	.
2003	5	21	1	.
2003	5	.	2	.
2003	5	21	3	.
2003	5	20	4	102
2003	5	20	5	.
2003	5	20	6	139
2003	5	21	7	.
2003	5	20	8	319
2003	5	22	9	.
2003	5	21	10	485
2003	5	21	11	.
2003	5	21	12	.
2003	5	20	13	245
2003	6	17	1	348
2003	6	17	2	.
2003	6	17	3	51
2003	6	17	4	106
2003	6	16	5	.
2003	6	17	6	.
2003	6	17	7	435
2003	6	17	8	325
2003	6	17	9	.
2003	6	17	10	348
2003	6	17	11	.
2003	6	17	12	.
2003	6	17	13	240
2003	6	18	15	106
2003	6	18	16	106
2003	7	16	1	348.5
2003	7	15	2	232
2003	7	15	3	0
2003	7	15	4	92
2003	7	15	5	.
2003	7	15	6	141
2003	7	16	7	402
2003	7	15	8	324.5
2003	7	15	9	.
2003	7	16	10	348.5
2003	7	15	11	.
2003	7	15	12	.
2003	7	15	13	237
2003	7	15	15	92
2003	7	15	16	92
2003	8	19	1	345
2003	8	19	2	213
2003	8	19	3	19
2003	8	19	4	84.5
2003	8	25	5	.
2003	8	.	6	.
2003	8	19	7	.
2003	8	19	8	339
2003	8	26	9	.
2003	8	19	10	345
2003	8	19	11	.
2003	8	19	12	.
2003	8	19	13	238
2003	8	19	15	84.5
2003	8	19	16	84.5
2003	9	16	1	.
2003	9	16	2	220
2003	9	17	3	0
2003	9	16	4	98
2003	9	16	5	.
2003	9	17	6	143
2003	9	16	7	391
2003	9	16	8	322
2003	9	18	9	184
2003	9	16	10	.
2003	9	16	11	.
2003	9	16	12	.
2003	9	16	13	237
2003	9	16	15	98
2003	9	16	16	98
2003	10	22	1	372.5
2003	10	21	2	220
2003	10	22	3	70
2003	10	21	4	112
2003	10	21	5	.
2003	10	.	6	.
2003	10	21	7	392
2003	10	21	8	300
2003	10	24	9	189
2003	10	21	10	441
2003	10	21	11	.
2003	10	21	12	.
2003	10	21	13	255
2003	10	21	14	.
2003	10	21	15	112
2003	10	21	16	112
2003	11	19	1	.
2003	11	18	2	217
2003	11	18	3	0
2003	11	18	4	92
2003	11	.	5	.
2003	11	18	6	.
2003	11	18	7	434
2003	11	18	8	380
2003	11	20	9	185
2003	11	19	10	355
2003	11	18	11	.
2003	11	18	12	.
2003	11	19	13	285
2003	11	18	14	.
2003	11	18	15	92
2003	11	18	16	92
2003	12	16	1	.
2003	12	16	2	222
2003	12	16	3	68
2003	12	17	4	90
2003	12	.	5	.
2003	12	17	6	.
2003	12	16	7	.
2003	12	16	8	396
2003	12	16	9	190
2003	12	.	10	.
2003	12	16	11	.
2003	12	16	12	.
2003	12	16	13	285
2003	12	16	14	.
2003	12	17	15	90
2003	12	17	16	90
2004	1	21	1	360
2004	1	.	2	.
2004	1	20	3	69
2004	1	20	4	94
2004	1	.	5	.
2004	1	21	6	134
2004	1	.	7	.
2004	1	20	8	395
2004	1	22	9	.
2004	1	20	10	449
2004	1	20	11	.
2004	1	20	12	.
2004	1	20	13	286
2004	1	19	14	.
2004	1	20	15	94
2004	1	20	16	94
2004	2	17	1	357
2004	2	17	2	234
2004	2	18	3	68
2004	2	17	4	91
2004	2	.	5	.
2004	2	18	6	134
2004	2	18	7	430
2004	2	18	8	377
2004	2	19	9	.
2004	2	17	10	356
2004	2	17	11	.
2004	2	17	12	.
2004	2	17	13	290
2004	2	17	14	.
2004	2	17	15	91
2004	2	17	16	91
2004	3	16	1	383
2004	3	16	2	222
2004	3	16	3	.
2004	3	16	4	103
2004	3	.	5	.
2004	3	16	6	126
2004	3	16	7	437
2004	3	16	8	328
2004	3	18	9	.
2004	3	16	10	383
2004	3	16	11	.
2004	3	16	12	.
2004	3	16	13	232
2004	3	16	14	.
2004	3	16	15	103
2004	3	16	16	103
2004	4	20	1	405
2004	4	20	2	230
2004	4	20	3	49
2004	4	20	4	65
2004	4	.	5	.
2004	4	21	6	127
2004	4	21	7	431
2004	4	21	8	331
2004	4	22	9	170
2004	4	20	10	405
2004	4	20	11	.
2004	4	20	12	.
2004	4	20	13	240
2004	4	20	14	.
2004	4	20	15	65
2004	4	20	16	65
2004	4	22	17	127
2004	4	20	18	.
2004	4	20	19	.
2004	5	.	1	.
2004	5	.	2	.
2004	5	15	3	48
2004	5	18	4	80
2004	5	.	5	.
2004	5	18	6	130
2004	5	.	7	.
2004	5	18	8	328
2004	5	20	9	.
2004	5	19	10	390.5
2004	5	18	11	.
2004	5	18	12	.
2004	5	18	13	240
2004	5	18	14	.
2004	5	18	15	80
2004	5	18	16	80
2004	5	18	17	130
2004	5	19	18	.
2004	5	19	19	.
2004	6	15	1	369
2004	6	15	2	224
2004	6	15	3	48
2004	6	15	4	89
2004	6	.	5	.
2004	6	16	6	129
2004	6	16	7	434
2004	6	15	8	317
2004	6	28	9	.
2004	6	15	10	369
2004	6	15	11	.
2004	6	15	12	.
2004	6	15	13	255
2004	6	15	14	.
2004	6	15	15	89
2004	6	15	16	89
2004	6	16	17	129
2004	6	15	18	.
2004	6	15	19	.
2004	7	20	1	354
2004	7	20	2	214
2004	7	20	3	64
2004	7	21	4	107
2004	7	.	5	.
2004	7	21	6	129
2004	7	20	7	434
2004	7	20	8	317
2004	7	21	9	.
2004	7	20	10	354
2004	7	20	11	.
2004	7	20	12	.
2004	7	20	13	230
2004	7	20	14	.
2004	7	20	15	107
2004	7	20	16	107
2004	7	21	17	129
2004	7	20	18	.
2004	7	20	19	.
2004	8	17	1	261.5
2004	8	17	2	214
2004	8	18	3	62
2004	8	17	4	110
2004	8	.	5	.
2004	8	18	6	136
2004	8	17	7	460
2004	8	18	8	327
2004	8	25	9	166
2004	8	17	10	261.5
2004	8	17	11	.
2004	8	17	12	.
2004	8	17	13	240
2004	8	17	14	.
2004	8	17	15	110
2004	8	17	16	110
2004	8	18	17	136
2004	8	17	18	.
2004	8	17	19	.
2004	9	21	1	317
2004	9	21	2	186
2004	9	21	3	47
2004	9	21	4	95
2004	9	.	5	.
2004	9	21	6	.
2004	9	21	7	338
2004	9	20	8	293
2004	9	23	9	163
2004	9	21	10	317
2004	9	21	11	.
2004	9	21	12	.
2004	9	21	13	265
2004	9	21	14	.
2004	9	21	15	95
2004	9	21	16	95
2004	9	22	17	125
2004	9	21	18	.
2004	9	21	19	.
2004	10	19	1	348
2004	10	19	2	215.5
2004	10	19	3	65
2004	10	19	4	86
2004	10	.	5	.
2004	10	19	6	125
2004	10	19	7	436
2004	10	19	8	310
2004	10	19	9	190
2004	10	19	10	448
2004	10	19	11	.
2004	10	19	12	.
2004	10	19	13	267
2004	10	19	14	.
2004	10	19	15	86
2004	10	19	16	86
2004	10	19	17	105
2004	10	18	18	.
2004	10	18	19	.
2004	11	17	1	363
2004	11	16	2	263
2004	11	16	3	70
2004	11	16	4	91
2004	11	.	5	.
2004	11	16	6	94
2004	11	16	7	434
2004	11	16	8	388
2004	11	18	9	186
2004	11	17	10	373
2004	11	16	11	.
2004	11	16	12	.
2004	11	17	13	320
2004	11	16	14	.
2004	11	16	15	91
2004	11	16	16	91
2004	11	16	17	92
2004	11	16	18	.
2004	11	16	19	.
2004	12	21	1	395
2004	12	21	2	192.5
2004	12	.	3	.
2004	12	21	4	86
2004	12	21	5	.
2004	12	22	6	105
2004	12	23	7	427
2004	12	22	8	.
2004	12	21	9	.
2004	12	21	10	395
2004	12	21	11	.
2004	12	21	12	.
2004	12	22	13	282
2004	12	21	14	.
2004	12	21	15	86
2004	12	21	16	86
2004	12	22	17	105
2004	12	20	18	188
2004	12	20	19	188
2004	12	22	20	294
2005	1	19	1	384
2005	1	18	2	204
2005	1	18	3	70
2005	1	18	4	80
2005	1	18	5	.
2005	1	18	6	167
2005	1	18	7	434
2005	1	18	8	405
2005	1	20	9	.
2005	1	19	10	467
2005	1	18	11	.
2005	1	18	12	.
2005	1	18	13	290
2005	1	20	14	.
2005	1	18	15	77
2005	1	18	16	77
2005	1	18	17	167
2005	1	18	18	192
2005	1	18	19	192
2005	1	19	20	.
2005	1	20	21	467
2005	1	20	22	.
2005	2	16	1	368
2005	2	15	2	205
2005	2	15	3	.
2005	2	15	4	80
2005	2	.	5	.
2005	2	15	6	123
2005	2	15	7	431
2005	2	16	8	406
2005	2	17	9	.
2005	2	16	10	386
2005	2	15	11	.
2005	2	15	12	.
2005	2	16	13	290
2005	2	16	14	.
2005	2	15	15	84
2005	2	15	16	84
2005	2	15	17	122
2005	2	14	18	291
2005	2	14	19	291
2005	2	16	20	332
2005	2	15	21	368
2005	2	15	22	.
2005	3	16	1	368
2005	3	16	2	214
2005	3	17	3	.
2005	3	15	4	79
2005	3	.	5	.
2005	3	18	6	124
2005	3	21	7	437
2005	3	17	8	324
2005	3	18	9	.
2005	3	16	10	368
2005	3	16	11	117
2005	3	16	12	117
2005	3	16	13	217
2005	3	17	14	.
2005	3	16	15	85
2005	3	16	16	85
2005	3	18	17	124
2005	3	17	18	169
2005	3	17	19	169
2005	3	17	20	289
2005	3	16	21	368
2005	3	16	22	117
2005	4	19	1	375
