year	month	day	site	northwell	eastwell	centerwell	southwell	westwell	NorthCaseHeight	EastCaseHeight	CenterCaseHeight	SouthCaseHeight	WestCaseHeight
2019	3	21	7	290	287	281	273	320	16.8	16.3	17	10.4	21.8
2019	3	18	8	207.5	230	144.5	144	206	91.6	97.5	94.8	101.2	119.8
2019	3		9						35.1	76.4	45	71.2	60.2
2019	3	21	10	290.5	339.5	266	306.5	281	71.4	51.3	59.7	69	76.4
2019	3	23	11	187.5	201	211	218.5	232.5	44.9	50.3	78.1	81.1	63.1
2019	3	22	12	204	184.5	178	203	218	72.3	54.6	44.6	65.1	50.3
2019	3	19	13	129	158	132	94	146	25.7	82.4	28.1	25.5	30.4
2019	3	21	14	192	180.5	186.5	197	184	59	36	40.4	41.2	40
2019	3	20	15	96	120	87	93	52	15	13.2	14.2	9.6	23
2019	3	19	16	164.5	190	185	177	165	31.1	70.4	46.3	59.3	71.3
2019	3	19	17	243.5	247	190	235	197	97.4	97.5	41.8	83.8	66.1
2019	3	20	18	130	197	158	161	149	36.7	61.3	63	59.5	51.2
2019	3	20	19	190	112	160	157	151.5	51	52.5	61.7	49.8	51.5
2019	3	20	20	77	230	50	42	225	34	25.5	15.8	21.5	43.7
2019	3	20	21	205	285	270	296.5	168	31.2	12.2	30.6	28.8	27.8
2019	3	23	22	131	87	124	87	173.5	38.8	33.3	49.4	24.8	37
2019	3	21	23	127.5	213.5	122	151	132	19.8	20.7	27.9	32	25.7
2019	3	22	24	.	.	.	.	.	.	.	.	.	.
2019	3	19	25	124	138.5	128.5	151	136	23.3	43	34.4	47.2	27
2019	3		26						56.2	68.8	76.4	51.8	66.6
2019	3	22	27	97	92.5	97.5	132	105.5	13	18.4	8.1	24.2	9.8
2019	3	21	28	251	244	256	257.5	248	86	90.6	95.8	96.1	85.4
2019	3	20	29	139.5	112	147.5	154	148	102	55	53.7	25.8	35.2
2019	3	18	30	161	319	84	342	155	85.3	38	80.6	79	118.5
2019	3	20	31	112	112.5	171.5	127	204.5	59.6	57.3	68.4	63	54.2
2019	3	21	32	231	285	277	259	283	53	47.6	75.8	39.5	62
2019	3	22	33	281.5	271.5	266.5	234.5	319.5	60.5	77.6	51.8	41.5	55.7
2019	4	15	1	288	366.5	312	356	275	60.9	82	65.7	116	99.7
2019	4	16	2	264.5	275.5	252.5	260	246	101.3	103.8	94	105.2	91.4
2019	4	15	3	115	113	118.5	86	135.5	16.4	7.8	16.4	12.6	17
2019	4	16	4	161	149.5	140.5	147.5	86	108.6	72.2	82	70.4	5
2019	4	16	5	.	.	.	.	.	.	.	.	.	.
2019	4	18	6	116	141	123	108	107	47	48.8	50.3	53.4	53.9
2019	4	18	7	275	273	267	258	304	16.8	16.3	17	10.4	21.8
2019	4	15	8	190.5	217	129	126.5	188	91.6	97.5	94.8	101.2	119.8
2019	4	17	10	274	323	247	286.5	260	35.1	76.4	45	71.2	60.2
2019	4	20	11	165.5	178	188.5	194.5	210.5	71.4	51.3	59.7	69	76.4
2019	4	16	12	188	166	161	183	207	44.9	50.3	78.1	81.1	63.1
2019	4	18	13	118	145.5	119	82	134	72.3	54.6	44.6	65.1	50.3
2019	4	18	14	185	176	182.5	196	179	25.7	82.4	28.1	25.5	30.4
2019	4	17	15	66	96	59	70	25.5	59	36	40.4	41.2	40
2019	4	16	16	155	178	174	166.5	155.5	15	13.2	14.2	9.6	23
2019	4	18	17	229	232	176	222	184	31.1	70.4	46.3	59.3	71.3
2019	4	17	18	108	174	137	142	135	97.4	97.5	41.8	83.8	66.1
2019	4	17	19	169	88.5	140.5	138	134.5	36.7	61.3	63	59.5	51.2
2019	4	17	20	66	220	37	29	209	51	52.5	61.7	49.8	51.5
2019	4	17	21	211.5	286.5	271	296	173.5	34	25.5	15.8	21.5	43.7
2019	4	20	22	122	80	116	78	167	31.2	12.2	30.6	28.8	27.8
2019	4	18	23	24.5	214	120.5	42.5	125.5	38.8	33.3	49.4	24.8	37
2019	4	12	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	4	16	25	109.5	123.5	114	137	126	23.3	43	34.4	47.2	27
2019	4		26						23.3	43	34.4	47.2	27
2019	4	15	27	72.5	62	72	107	79.5	56.2	68.8	76.4	51.8	66.6
2019	4	18	28	214	207	220	220	215	13	18.4	8.1	24.2	9.8
2019	4	17	29	136	105.5	138.5	144	139	86	90.6	95.8	96.1	85.4
2019	4	15	30	156.5	316	74	330	143.5	102	55	53.7	25.8	35.2
2019	4	17	31	93	92	152	107	185.5	85.3	38	80.6	79	118.5
2019	4	26	32	202	264	248	230	247.5	59.6	57.3	68.4	63	54.2
2019	4	18	33	269	260	255.5	223.5	306.5	53	47.6	75.8	39.5	62
2019	4	18	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	5	20	1	249.5	335	273.5	319	228	60.9	82	65.7	116	99.7
2019	5	21	2	237.5	250.5	224	230	.	101.3	103.8	94	105.2	91.4
2019	5	23	3	-49	.	-47	-78	.	16.4	7.8	16.4	12.6	17
2019	5	21	4	98	83	77	86.5	24	108.6	72.2	82	70.4	5
2019	5	24	5	.	.	.	.	.	.	.	.	.	.
2019	5	25	6	75	96	84.5	100	91	47	48.8	50.3	53.4	53.9
2019	5	24	7	261	253	253	244	292.5	16.8	16.3	17	10.4	21.8
2019	5	22	8	129	161.5	89	61.5	131	91.6	97.5	94.8	101.2	119.8
2019	5	20	10	201	256.5	167	201	175.5	35.1	76.4	45	71.2	60.2
2019	5	20	11	106	103	120	131	160	71.4	51.3	59.7	69	76.4
2019	5	20	12	122	80	92	116	174	44.9	50.3	78.1	81.1	63.1
2019	5	20	13	16	79	26	2.5	22.5	72.3	54.6	44.6	65.1	50.3
2019	5	24	14	180	169	173	184.5	172.5	25.7	82.4	28.1	25.5	30.4
2019	5	21	15	42	60.5	31.5	36.5	4	59	36	40.4	41.2	40
2019	5	21	16	110.5	127	128	121	.	15	13.2	14.2	9.6	23
2019	5	24	17	183	186	133	179	140	31.1	70.4	46.3	59.3	71.3
2019	5	23	18	52	123	78	78.5	60	97.4	97.5	41.8	83.8	66.1
2019	5	23	19	122	45	90	84	76	36.7	61.3	63	59.5	51.2
2019	5	21	20	-28.5	166	.	.	.	51	52.5	61.7	49.8	51.5
2019	5	22	21	169.5	244	227	252	124	34	25.5	15.8	21.5	43.7
2019	5	20	22	99	56	94	55.5	150	31.2	12.2	30.6	28.8	27.8
2019	5	22	23	3	139	36	34.5	49	38.8	33.3	49.4	24.8	37
2019	5	24	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	5	21	25	36	45	40	67	49	23.3	43	34.4	47.2	27
2019	5	19	26	343	391	376	356	358	23.3	43	34.4	47.2	27
2019	5	21	27	0	.	-1	29	6.5	56.2	68.8	76.4	51.8	66.6
2019	5	22	28	216	210.5	222.5	223	214	13	18.4	8.1	24.2	9.8
2019	5	20	29	63.5	34	51.5	59	33.5	86	90.6	95.8	96.1	85.4
2019	5	22	30	118.5	273.5	40	300	118	102	55	53.7	25.8	35.2
2019	5	22	31	-1.5	-28.5	56.5	1.5	99	85.3	38	80.6	79	118.5
2019	5	24	32	174	249.5	223	213.5	211.5	59.6	57.3	68.4	63	54.2
2019	5	22	33	67	65.5	-2	-31	78.5	53	47.6	75.8	39.5	62
2019	5	22	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	6	21	1	225.5	320	256	305	213.5	60.9	82	65.7	116	99.7
2019	6	18	2	234	247	219.5	225	209	101.3	103.8	94	105.2	91.4
2019	6	20	3	.	.	.	.	.	16.4	7.8	16.4	12.6	17
2019	6	18	4	78	63	55.5	62	-5	108.6	72.2	82	70.4	5
2019	6	17	5	.	.	.	.	.	.	.	.	.	.
2019	6	17	6	50	74	56.5	69.5	53.5	47	48.8	50.3	53.4	53.9
2019	6	20	7	257	252.5	248	239	286	16.8	16.3	17	10.4	21.8
2019	6	19	8	128	157.5	65	58	126	91.6	97.5	94.8	101.2	119.8
2019	6	21	10	143	212	119	179	129	35.1	76.4	45	71.2	60.2
2019	6	19	11	90.5	84	111.5	116.5	150	71.4	51.3	59.7	69	76.4
2019	6	18	12	102	57	71	95	164.5	44.9	50.3	78.1	81.1	63.1
2019	6	17	13	-0.5	66.5	10.5	-10	0	72.3	54.6	44.6	65.1	50.3
2019	6	20	14	169	157.5	163.5	172	158	25.7	82.4	28.1	25.5	30.4
2019	6	18	15	19	32.5	10	17.5	-8.5	59	36	40.4	41.2	40
2019	6	18	16	90.5	106	110.5	106	92	15	13.2	14.2	9.6	23
2019	6	20	17	135	154	86	135	82	31.1	70.4	46.3	59.3	71.3
2019	6	20	18	35	105.5	62	63.5	44	97.4	97.5	41.8	83.8	66.1
2019	6	20	19	100	24	69.5	64.5	55	36.7	61.3	63	59.5	51.2
2019	6	19	20	.	158	-59	-56	133	51	52.5	61.7	49.8	51.5
2019	6	18	21	143.5	215	208	249	109	34	25.5	15.8	21.5	43.7
2019	6	18	22	89.5	43	81.5	-7	140	31.2	12.2	30.6	28.8	27.8
2019	6	20	23	.	110	.	42.5	28	38.8	33.3	49.4	24.8	37
2019	6	17	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	6	18	25	15.5	26	16.5	34.5	23.5	23.3	43	34.4	47.2	27
2019	6	27	26	184	203	205	170	200.5	23.3	43	34.4	47.2	27
2019	6	21	27	.	-37.5	.	14	0.5	56.2	68.8	76.4	51.8	66.6
2019	6	12	28	182.5	178	189	190	181	13	18.4	8.1	24.2	9.8
2019	6	17	29	48	21	31	21.5	-10	86	90.6	95.8	96.1	85.4
2019	6	19	30	109	264.5	29.5	291.5	106	102	55	53.7	25.8	35.2
2019	6	17	31	-12.5	-34.5	49	2	91.5	85.3	38	80.6	79	118.5
2019	6	17	32	138.5	210	188	172	178	59.6	57.3	68.4	63	54.2
2019	6	20	33	.	.	.	.	.	53	47.6	75.8	39.5	62
2019	6	20	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	7	15	1	271	347.5	295	341	260	60.9	82	65.7	116	99.7
2019	7	17	2	253	264.5	240	247.5	233.5	101.3	103.8	94	105.2	91.4
2019	7	15	3	105	105	106	74	120	16.4	7.8	16.4	12.6	17
2019	7	16	4	162	144.5	140	148	88.5	108.6	72.2	82	70.4	5
2019	7	15	5	.	.	.	.	.	.	.	.	.	.
2019	7	15	6	98	120	106.5	120	111	47	48.8	50.3	53.4	53.9
2019	7	16	7	267	265	258	250	296	16.8	16.3	17	10.4	21.8
2019	7	18	8	190.5	214.5	127.5	124.5	191	91.6	97.5	94.8	101.2	119.8
2019	7	15	10	248	293	219	257	233	35.1	76.4	45	71.2	60.2
2019	7	16	11	149	155.5	169.5	175	196	71.4	51.3	59.7	69	76.4
2019	7	16	12	175	146	146.5	169.5	203	44.9	50.3	78.1	81.1	63.1
2019	7	16	13	111.5	157	117	86	122	72.3	54.6	44.6	65.1	50.3
2019	7	16	14	198	187	195	208	192.5	25.7	82.4	28.1	25.5	30.4
2019	7	16	15	88.5	109	79	84	50	59	36	40.4	41.2	40
2019	7	16	16	160.5	182	180	172	155.5	15	13.2	14.2	9.6	23
2019	7	15	17	213	214.5	159	204.5	166.5	31.1	70.4	46.3	59.3	71.3
2019	7	15	18	97	159	122	124	115	97.4	97.5	41.8	83.8	66.1
2019	7	15	19	164	79.5	135	130	132	36.7	61.3	63	59.5	51.2
2019	7	17	20	57	212	26.5	18	201	51	52.5	61.7	49.8	51.5
2019	7	16	21	206.5	265.5	262	283	177	34	25.5	15.8	21.5	43.7
2019	7	16	22	139	101	130.5	91.5	177.5	31.2	12.2	30.6	28.8	27.8
2019	7	17	23	107	191.5	103	131	114	38.8	33.3	49.4	24.8	37
2019	7	15	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	7	16	25	110.5	122	115	137.5	124.5	23.3	43	34.4	47.2	27
2019	7	19	26	127	156	149	117	129	23.3	43	34.4	47.2	27
