year	month	day	site	northwell	eastwell	centerwell	southwell	westwell	NorthCaseHeight	EastCaseHeight	CenterCaseHeight	SouthCaseHeight	WestCaseHeight
2019	11	19	25	125.5	138	129.5	151.5	137.5	23.3	43	34.4	47.2	27
2019	11	23	26	185	225	216	192	203	23.3	43	34.4	47.2	27
2019	11	22	27	70	62	69	102.5	76	56.2	68.8	76.4	51.8	66.6
2019	11	.	28	.	.	.	.	.	13	18.4	8.1	24.2	9.8
2019	11	18	29	143	112	144	151	140	86	90.6	95.8	96.1	85.4
2019	11	21	30	149.5	306.5	73	334	148.5	102	55	53.7	25.8	35.2
2019	11	18	31	120	124	182	138	211.5	85.3	38	80.6	79	118.5
2019	11	25	32	230	288	276	258	278.5	59.6	57.3	68.4	63	54.2
2019	11	22	33	367.5	374	358	330	400	53	47.6	75.8	39.5	62
2019	11	22	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	12	16	1	345	413	367	412	334	60.9	82	65.7	116	99.7
2019	12	17	2	284	296.5	272	279	265	101.3	103.8	94	105.2	91.4
2019	12	18	3	158.5	160	160.5	128.5	174	16.4	7.8	16.4	12.6	17
2019	12	17	4	192.5	182.5	172	178.5	115	108.6	72.2	82	70.4	5
2019	12	17	5	.	.	.	.	.	.	.	.	.	.
2019	12	19	6	123	148	130.5	144.5	133.5	47	48.8	50.3	53.4	53.9
2019	12	19	7	285	282	277	268	315	16.8	16.3	17	10.4	21.8
2019	12	18	8	227	249	165	161	230	91.6	97.5	94.8	101.2	119.8
2019	12	17	10	309	358.5	289.5	333	308	35.1	76.4	45	71.2	60.2
2019	12	16	11	190	208	213	218.5	230.5	71.4	51.3	59.7	69	76.4
2019	12	19	12	215	201	190	213	217	44.9	50.3	78.1	81.1	63.1
2019	12	18	13	162.5	205	168	134.5	172.5	72.3	54.6	44.6	65.1	50.3
2019	12	19	14	229	216	226	238	224.5	25.7	82.4	28.1	25.5	30.4
2019	12	16	15	102.5	128.5	94	101.5	58	59	36	40.4	41.2	40
2019	12	16	16	178	204.5	199	190	176	15	13.2	14.2	9.6	23
2019	12	19	17	240	245.5	185.5	231	192.5	31.1	70.4	46.3	59.3	71.3
2019	12	19	18	141	209	170	172.5	161	97.4	97.5	41.8	83.8	66.1
2019	12	19	19	202	123	174	170	166	36.7	61.3	63	59.5	51.2
2019	12	16	20	84	235.5	57.5	50.5	236	51	52.5	61.7	49.8	51.5
2019	12	16	21	153.5	115	143.5	102.5	185	34	25.5	15.8	21.5	43.7
2019	12	21	22	163	126.5	152	110.5	190	31.2	12.2	30.6	28.8	27.8
2019	12	19	23	130	214	128	159	141	38.8	33.3	49.4	24.8	37
2019	12	.	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	12	17	25	140	155.5	143	164.5	148	23.3	43	34.4	47.2	27
2019	12	19	26	181.5	221	212	188.5	199	23.3	43	34.4	47.2	27
2019	12	17	27	114	99	114.5	150	128	56.2	68.8	76.4	51.8	66.6
2019	12	.	28	.	.	.	.	.	13	18.4	8.1	24.2	9.8
2019	12	18	29	160.5	132	162.5	165	154	86	90.6	95.8	96.1	85.4
2019	12	19	30	158	313	82	343	159	102	55	53.7	25.8	35.2
2019	12	16	31	123	121	124	139	218	85.3	38	80.6	79	118.5
2019	12	20	32	249	302	295	280	305	59.6	57.3	68.4	63	54.2
2019	12	18	33	346	349	335	306	379	53	47.6	75.8	39.5	62
2019	12	18	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
