site,year,month,day,northwell,eastwell,centerwell,southwell,westwell,NorthCaseHeight,EastCaseHeight,CenterCaseHeight,SouthCaseHeight,WestCaseHeight,Date,north_depth,east_depth,center_depth,south_depth,west_depth,mean_depth_gw,site_name,site_lat,site_long
8,2019,4,15,190.5,217,129,126.5,188,91.6,97.5,94.8,101.2,119.8,2019-04-15,98.9,119.5,34.2,25.3,68.2,69.22,Hispanic Cultural Center,35.06881267,-106.6580575
8,2019,2,26,227.5,250,164,161,226,91.6,97.5,94.8,101.2,119.8,2019-02-26,135.9,152.5,69.2,59.8,106.2,104.72,Hispanic Cultural Center,35.06881267,-106.6580575
8,2019,1,14,231,248.5,167,163,233,91.6,97.5,94.8,101.2,119.8,2019-01-14,139.4,151,72.2,61.8,113.2,107.52,Hispanic Cultural Center,35.06881267,-106.6580575
8,2019,3,18,207.5,230,144.5,244,206,91.6,97.5,94.8,101.2,119.8,2019-03-18,115.9,132.5,49.7,142.8,86.2,105.42,Hispanic Cultural Center,35.06881267,-106.6580575
8,2019,5,22,129,161.5,89,61.5,131,91.6,97.5,94.8,101.2,119.8,2019-05-22,37.4,64,-5.8,-39.7,11.2,13.42,Hispanic Cultural Center,35.06881267,-106.6580575
10,2019,3,21,290.5,339.5,266,306.5,281,71.4,51.3,59.7,69,76.4,2019-03-21,219.1,288.2,206.3,237.5,204.6,231.14,Diversion,35.1908,-106.6429
10,2019,4,17,274,323,247,286.5,260,35.1,76.4,45,71.2,60.2,2019-04-17,238.9,246.6,202,215.3,199.8,220.52,Diversion,35.1908,-106.6429
10,2019,2,20,320,370,303,347,324,71.4,51.3,59.7,69,76.4,2019-02-20,248.6,318.7,243.3,278,247.6,267.24,Diversion,35.1908,-106.6429
10,2019,1,15,333,377.5,314,356,336,71.4,51.3,59.7,69,76.4,2019-01-15,261.6,326.2,254.3,287,259.6,277.74,Diversion,35.1908,-106.6429
10,2019,5,20,201,256.5,167,201,175.5,35.1,76.4,45,71.2,60.2,2019-05-20,165.9,180.1,122,129.8,115.3,142.62,Diversion,35.1908,-106.6429
11,2019,2,23,220.5,236.5,243.5,250.5,262.7,44.9,50.3,78.1,81.1,63.1,2019-02-23,175.6,186.2,165.4,169.4,199.6,179.24,Calabacillas,35.19056822,-106.6491626
11,2019,4,20,165.5,178,188.5,194.5,210.5,71.4,51.3,59.7,69,76.4,2019-04-20,94.1,126.7,128.8,125.5,134.1,121.84,Calabacillas,35.19056822,-106.6491626
11,2019,3,23,187.5,201,211,218.5,232.5,44.9,50.3,78.1,81.1,63.1,2019-03-23,142.6,150.7,132.9,137.4,169.4,146.6,Calabacillas,35.19056822,-106.6491626
11,2019,1,19,231.5,247,255,261,274,44.9,50.3,78.1,81.1,63.1,2019-01-19,186.6,196.7,176.9,179.9,210.9,190.2,Calabacillas,35.19056822,-106.6491626
11,2019,5,20,106,103,120,131,160,71.4,51.3,59.7,69,76.4,2019-05-20,34.6,51.7,60.3,62,83.6,58.44,Calabacillas,35.19056822,-106.6491626
12,2019,2,25,233,217.5,208.5,233,239,72.3,54.6,44.6,65.1,50.3,2019-02-25,160.7,162.9,163.9,167.9,188.7,168.82,Minnow,35.19315094,-106.646915
12,2019,4,16,188,166,161,183,207,44.9,50.3,78.1,81.1,63.1,2019-04-16,143.1,115.7,82.9,101.9,143.9,117.5,Minnow,35.19315094,-106.646915
12,2019,1,18,255,240,230,253.5,260,72.3,54.6,44.6,65.1,50.3,2019-01-18,182.7,185.4,185.4,188.4,209.7,190.32,Minnow,35.19315094,-106.646915
12,2019,5,20,122,80,92,116,174,44.9,50.3,78.1,81.1,63.1,2019-05-20,77.1,29.7,13.9,34.9,110.9,53.3,Minnow,35.19315094,-106.646915
12,2019,3,22,204,184.5,178,203,218,72.3,54.6,44.6,65.1,50.3,2019-03-22,131.7,129.9,133.4,137.9,167.7,140.12,Minnow,35.19315094,-106.646915
13,2019,4,18,118,145.5,119,82,134,72.3,54.6,44.6,65.1,50.3,2019-04-18,45.7,90.9,74.4,16.9,83.7,62.32,Harrison,35.01505603,-106.6736953
13,2019,2,20,163,179,162.5,121,177,25.7,82.4,28.1,25.5,30.4,2019-02-20,137.3,96.6,134.4,95.5,146.6,122.08,Harrison,35.01505603,-106.6736953
13,2019,3,19,129,158,132,94,146,25.7,82.4,28.1,25.5,30.4,2019-03-19,103.3,75.6,103.9,68.5,115.6,93.38,Harrison,35.01505603,-106.6736953
13,2019,1,15,158,184,161,132,173,25.7,82.4,28.1,25.5,30.4,2019-01-15,132.3,101.6,132.9,106.5,142.6,123.18,Harrison,35.01505603,-106.6736953
13,2019,5,20,16,79,26,2.5,22.5,72.3,54.6,44.6,65.1,50.3,2019-05-20,-56.3,24.4,-18.6,-62.6,-27.8,-28.18,Harrison,35.01505603,-106.6736953
14,2019,4,18,185,176,182.5,196,179,25.7,82.4,28.1,25.5,30.4,2019-04-18,159.3,93.6,154.4,170.5,148.6,145.28,Sevilleta,34.25834233,-106.8831845
14,2019,2,21,230,218,225,237,223.5,59,36,40.4,41.2,40,2019-02-21,171,182,184.6,195.8,183.5,183.38,Sevilleta,34.25834233,-106.8831845
14,2019,1,19,221,209,215,226,213,59,36,40.4,41.2,40,2019-01-19,162,173,174.6,184.8,173,173.48,Sevilleta,34.25834233,-106.8831845
14,2019,3,21,192,180.5,186.5,197,184,59,36,40.4,41.2,40,2019-03-21,133,144.5,146.1,155.8,144,144.68,Sevilleta,34.25834233,-106.8831845
14,2019,5,24,180,169,173,184.5,172.5,25.7,82.4,28.1,25.5,30.4,2019-05-24,154.3,86.6,144.9,159,142.1,137.38,Sevilleta,34.25834233,-106.8831845
15,2019,4,17,66,96,59,70,25.5,59,36,40.4,41.2,40,2019-04-17,7,60,18.6,28.8,-14.5,19.98,Valencia Cleared,34.64863444,-106.7391728
15,2019,3,20,96,120,87,93,52,15,13.2,14.2,9.6,23,2019-03-20,81,106.8,72.8,83.4,29,74.6,Valencia Cleared,34.64863444,-106.7391728
15,2019,1,16,117,143,108,114.5,70,15,13.2,14.2,9.6,23,2019-01-16,102,129.8,93.8,104.9,47,95.5,Valencia Cleared,34.64863444,-106.7391728
15,2019,5,21,42,60.5,31.5,36.5,4,59,36,40.4,41.2,40,2019-05-21,-17,24.5,-8.9,-4.7,-36,-8.42,Valencia Cleared,34.64863444,-106.7391728
15,2019,2,20,120,147.5,113,119,74,15,13.2,14.2,9.6,23,2019-02-20,105,134.3,98.8,109.4,51,99.7,Valencia Cleared,34.64863444,-106.7391728
16,2019,4,16,155,178,174,166.5,155.5,15,13.2,14.2,9.6,23,2019-04-16,140,164.8,159.8,156.9,132.5,150.8,Valencia Forest,34.64716225,-106.738482
16,2019,2,25,187,213,207.5,201,186,31.1,70.4,46.3,59.3,71.3,2019-02-25,155.9,142.6,161.2,141.7,114.7,143.22,Valencia Forest,34.64716225,-106.738482
16,2019,3,19,164.5,190,185,177,165,31.1,70.4,46.3,59.3,71.3,2019-03-19,133.4,119.6,138.7,117.7,93.7,120.62,Valencia Forest,34.64716225,-106.738482
16,2019,1,15,194,221,214.5,206.5,191,31.1,70.4,46.3,59.3,71.3,2019-01-15,162.9,150.6,168.2,147.2,119.7,149.72,Valencia Forest,34.64716225,-106.738482
16,2019,5,21,110.5,127,128,121,NA,15,13.2,14.2,9.6,23,2019-05-21,95.5,113.8,113.8,111.4,NA,108.625,Valencia Forest,34.64716225,-106.738482
17,2019,2,21,260,265,208,252,214,97.4,97.5,41.8,83.8,66.1,2019-02-21,162.6,167.5,166.2,168.2,147.9,162.48,Montano,35.14528819,-106.6803699
17,2019,4,18,229,232,176,222,184,31.1,70.4,46.3,59.3,71.3,2019-04-18,197.9,161.6,129.7,162.7,112.7,152.92,Montano,35.14528819,-106.6803699
17,2019,5,24,183,186,133,179,140,31.1,70.4,46.3,59.3,71.3,2019-05-24,151.9,115.6,86.7,119.7,68.7,108.52,Montano,35.14528819,-106.6803699
17,2019,1,18,263,268,242.5,257,272,97.4,97.5,41.8,83.8,66.1,2019-01-18,165.6,170.5,200.7,173.2,205.9,183.18,Montano,35.14528819,-106.6803699
