Year,Site number,Site name,Annual sum of canopy precipitation mm,Annual sum of open precipitation mm,Annual sum of precipitation mm
2016,13,Harrison,93.4,118.1,125.05
2016,14,Sevilleta,148,203.5,175.75
2016,15,Valencia Cleared,81.6,92.5,95.05
2016,16,Valencia Forest,73.3,178.5,141.65
2016,17,Montano,73,165.3,122.65
2016,18,Reynolds Cleared,71.8,146.6,112.95
2016,19,Reynolds Forest,94.5,88.5,110.25
2016,20,Route 66,64.8,145.1,105.69999999999999
2016,21,Badger,85.3,136.5,118.65
2016,22,Bobcat,71,122,112.75
2016,23,BioPark,122.5,163.1,147.6
2016,24,Santo Domingo,43,105,80.5
2016,25,Crawford,52,175.2,163.95
2016,26,Mesilla,72.4,117.5,108.14999999999999
2016,27,Bosque Farm,0,0,0
2016,28,Valle de Oro,0,101,101
2016,29,Albuquerque Overbank Project,55.5,178.8,123.15
2016,30,State Land Office,124.3,158,147.15
2016,31,San Jose,131.7,171.1,151.4
2016,32,Sandia,54.5,145.5,131
2017,1,Alameda,117.3,176,159.65
2017,2,Rio Grande Nature Center,176.39999999999998,106.8,178.14999999999998
2017,3,Los Lunas,119.69999999999999,230.8,209.15000000000003
2017,4,Belen,200.7,223.9,224.8
2017,5,Santa Ana,137.1,131.3,157.7
2017,6,Savannah,87.5,196.3,146.4
2017,7,Lemitar,136.5,201.8,169.15
2017,8,Hispanic Cultural Center,152,108.9,151.95
2017,9,Ohkay Owingeh,0,0,0
2017,10,Diversion,71,123,98
2017,11,Calabacillas,42.400000000000006,121,113.44999999999999
2017,12,Minnow,73,158.3,117.15
2017,13,Harrison,125.60000000000001,67.3,127.9
2017,14,Sevilleta,114.69999999999999,160.2,137.45
2017,15,Valencia Cleared,161.7,0,161.7
2017,16,Valencia Forest,176.2,303.7,239.95
2017,17,Montano,85,160.5,133.25
2017,18,Reynolds Cleared,149.1,244.1,218.60000000000002
2017,19,Reynolds Forest,213.5,196.79999999999998,238.14999999999998
2017,20,Route 66,82.1,165.3,123.7
2017,21,Badger,72.9,144.6,108.75
2017,22,Bobcat,74.1,156.9,124
2017,23,BioPark,133,195.4,164.2
2017,24,Santo Domingo,235,208,241.5
2017,25,Crawford,262.3,297.2,280.40000000000003
2017,26,Mesilla,108.8,174.5,141.65
2017,27,Bosque Farm,0,0,0
2017,28,Valle de Oro,2.8,154.4,157.2
2017,29,Albuquerque Overbank Project,122.6,154,149.05
2017,30,State Land Office,114.2,183.3,163.70000000000002
2017,31,San Jose,153,214,183.5
2017,32,Sandia,104.5,163.1,144.2
2018,1,Alameda,107.55,169.34,138.44500000000002
2018,2,Rio Grande Nature Center,129.03,166.47,152.88500000000002
2018,3,Los Lunas,61.129999999999995,87.5,83.49499999999999
2018,4,Belen,91.69,97,94.345
2018,5,Santa Ana,122.77,211.14000000000001,166.955
2018,6,Savannah,58.96000000000001,84.81,88.35000000000001
2018,7,Lemitar,94.00999999999999,70.56,103.34
2018,8,Hispanic Cultural Center,7.36,72.91,64.88499999999999
2018,9,Ohkay Owingeh,0,0,0
2018,10,Diversion,51.5,178.14000000000001,175.82
2018,11,Calabacillas,162.70000000000002,104,169.49
2018,12,Minnow,102.58000000000001,224.43,163.505
2018,13,Harrison,83.34,110.9,110.38499999999999
2018,14,Sevilleta,50.7,162.13,155.16500000000002
2018,15,Valencia Cleared,147.74,131,177.22
2018,16,Valencia Forest,115.28,234.68,174.98
2018,17,Montano,66.6,141.32,116.78999999999999
2018,18,Reynolds Cleared,95.66,205.07999999999998,158.405
2018,19,Reynolds Forest,151.07,184.82,170.94
2018,20,Route 66,53.68,163.53000000000003,109.675
2018,21,Badger,128.66,217.91,173.28500000000003
2018,22,Bobcat,121.77,120.22,151.14499999999998
2018,23,BioPark,127.61999999999999,109,147.26999999999998
2018,24,Santo Domingo,64.24,193.36,145.945
2018,25,Crawford,55,112.85,83.925
2018,26,Mesilla,52.1,106.5,79.3
2018,27,Bosque Farm,0,0,0
2018,28,Valle de Oro,0,0,0
2018,29,Albuquerque Overbank Project,43.940000000000005,103,76.475
2018,30,State Land Office,95,107.95,108.71
2018,31,San Jose,68.75,42.4,66.695
2018,32,Sandia,94.41,165.61,131.01
2018,33,Bosque del Apache,143.81,242.09,192.95
2019,1,Alameda,172,236.5,207.35
2019,2,Rio Grande Nature Center,164.9,102.5,159.7
2019,3,Los Lunas,76,173.3,154.55
2019,4,Belen,147.9,191.7,241.8
2019,5,Santa Ana,171,243.60000000000002,207.3
2019,6,Savannah,90.7,175.5,133.1
2019,7,Lemitar,151,167,162.5
2019,8,Hispanic Cultural Center,158.2,228.8,193.5
2019,9,Ohkay Owingeh,0,0,0
2019,10,Diversion,125.1,220.5,186.55
2019,11,Calabacillas,156.5,244,200.25
2019,12,Minnow,94,263.3,215.65
2019,13,Harrison,122.8,167.8,153.3
2019,14,Sevilleta,105.8,157.5,143.15
2019,15,Valencia Cleared,158,230.1,197.85
2019,16,Valencia Forest,156.3,177.5,184.4
2019,17,Montano,62.9,221.2,162.55
2019,18,Reynolds Cleared,139.3,243,191.15
2019,19,Reynolds Forest,182.3,237.3,211.8
2019,20,Route 66,98.4,203.8,159.85
2019,21,Badger,178.5,186.4,182.45
2019,22,Bobcat,90.5,192.9,149.1
2019,23,BioPark,146,199.1,179.35
2019,24,Santo Domingo,91.3,108,155.05
2019,25,Crawford,135.2,240.3,214.25
2019,26,Mesilla,89.8,125,120.9
2019,27,Bosque Farm,0,0,0
2019,28,Valle de Oro,0,0,0
2019,29,Albuquerque Overbank Project,92.6,180.3,136.45000000000002
2019,30,State Land Office,183,224,203.5
2019,31,San Jose,138.5,179.8,159.15
2019,32,Sandia,121,171,154.5
2019,33,Bosque del Apache,131.8,84.3,142.55
2019,34,River Realignment,136.3,108,130.8
2020,1,Alameda,94.1,99,108.55
2020,2,Rio Grande Nature Center,102.1,115.3,108.7
2020,3,Los Lunas,58.8,131,106.4
2020,4,Belen,143.5,108.3,131.65
2020,5,Santa Ana,63.9,44,70.4
2020,6,Savannah,53.5,175.5,121.5
2020,7,Lemitar,151.3,176.8,164.05
2020,8,Hispanic Cultural Center,112,105.9,116.45
2020,10,Diversion,60.5,131.6,96.05
2020,11,Calabacillas,78.8,124.5,101.65
2020,12,Minnow,74,89,92.5
2020,13,Harrison,111.8,175.5,143.65
2020,14,Sevilleta,71.5,156.8,122.15
2020,15,Valencia Cleared,87.6,110.3,110.75
2020,16,Valencia Forest,84.2,143,115.19999999999999
2020,17,Montano,83.5,243.2,163.35
2020,18,Reynolds Cleared,81.5,140.5,111
2020,19,Reynolds Forest,74.5,145,134
2020,20,Route 66,65.8,136.5,101.15
2020,21,Badger,67,113.3,90.15
2020,22,Bobcat,63.5,123.8,102.15
2020,23,BioPark,102,139.5,122.75
2020,24,Santo Domingo,13.5,0,13.5
2020,25,Crawford,130.6,179,154.79999999999998
2020,26,Mesilla,109,191,150
2020,27,Bosque Farm,0,0,0
2020,28,Valle de Oro,0,0,0
2020,29,Albuquerque Overbank Project,69.89999999999999,175.5,128.95000000000002
2020,30,State Land Office,112.3,142.3,127.30000000000001
2020,31,San Jose,123,174.5,148.75
2020,32,Sandia,33,41.5,37.25
2020,33,Bosque del Apache,128.5,87,140.75
2020,34,River Realignment,123.4,157.4,140.4
2021,1,Alameda,112.1,148.6,130.35
2021,2,Rio Grande Nature Center,139.9,153.3,146.6
2021,3,Los Lunas,31.8,99.8,65.80000000000001
2021,4,Belen,193.6,165.4,179.5
2021,5,Santa Ana,64.1,117.3,90.7
2021,6,Savannah,33.5,206,138.5
2021,7,Lemitar,161.6,214,187.8
2021,8,Hispanic Cultural Center,83.3,75,93.4
2021,10,Diversion,135.3,157.9,148.85
2021,11,Calabacillas,76.8,151.5,118.15
2021,12,Minnow,85,155.5,120.25
2021,13,Harrison,77.1,109.69999999999999,93.4
2021,14,Sevilleta,141.4,178.6,196
2021,15,Valencia Cleared,139.8,175.2,157.5
2021,16,Valencia Forest,83.3,146.5,128.4
2021,17,Montano,86,161.5,128.75
2021,18,Reynolds Cleared,104.1,157.10000000000002,130.60000000000002
2021,19,Reynolds Forest,126,161.6,143.79999999999998
2021,20,Route 66,76,162,119
2021,21,Badger,109.8,161.8,135.8
2021,22,Bobcat,92.8,164.3,131.55
2021,23,BioPark,119.1,60.8,108.85000000000001
2021,24,Santo Domingo,0,0,0
2021,25,Crawford,144.79999999999998,174.8,159.79999999999998
2021,26,Mesilla,81.5,167,124.5
2021,27,Bosque Farm,0,0,0
2021,28,Valle de Oro,0,0,0
2021,29,Albuquerque Overbank Project,67.6,115.8,91.7
2021,30,State Land Office,81.6,123.9,105.75
2021,31,San Jose,57,105.7,87.35
2021,32,Sandia,68.2,110.3,89.25
2021,33,Bosque del Apache,35,25.5,41
2021,34,River Realignment,192.5,40.5,191.5
2022,1,Alameda,149.5,207.5,178.5
2022,2,Rio Grande Nature Center,171.5,162,177.25
2022,3,Los Lunas,135.5,218.5,184
2022,4,Belen,125.30000000000001,195.89999999999998,161.85
2022,5,Santa Ana,145.3,260,230.15
2022,6,Savannah,154.4,260.5,207.45
2022,7,Lemitar,210.8,306.5,259.65
2022,8,Hispanic Cultural Center,0,77,77
2022,10,Diversion,94.5,166.3,151.4
2022,11,Calabacillas,130,154.5,142.25
2022,12,Minnow,105.19999999999999,156.8,131
2022,13,Harrison,107,209.3,158.15
2022,14,Sevilleta,186.7,291.5,239.1
