Year,Month,Day,Site number,Precipitation canopy,Precipitation open,Site name,Latitude,Longitude,Reaches,Current usgs gauge,
1997,4,15,1,48.3,63.5,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,5,20,1,12.7,12.2,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,5,29,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1997,6,17,1,31.8,63.5,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,6,17,2,21.8,30.5,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1997,6,.,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1997,7,15,1,.,.,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,7,15,2,.,25.4,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1997,7,.,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1997,8,19,1,81.3,104.1,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,8,17,2,38.4,66,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1997,8,.,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1997,9,16,1,22.9,20.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,9,16,2,38.1,53.3,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1997,9,18,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1997,10,21,1,32.5,.,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,10,21,2,48.3,53.3,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1997,10,21,3,43.2,22.9,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1997,11,18,1,12.7,12.7,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,11,.,2,.,.,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1997,11,19,3,11.9,17.8,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1997,12,16,1,12.7,20.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1997,12,16,2,16.8,15.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1997,12,16,3,11.7,6.1,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,1,20,1,6.1,10.4,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,1,20,2,10.7,12.7,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,1,21,3,13,15.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,2,17,1,8.9,12.7,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,2,.,2,.,.,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,2,20,3,10.2,16.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,2,17,4,21.6,22.9,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,3,17,1,31.8,40.6,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,3,17,2,39.4,43.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,3,20,3,48.3,53.3,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,3,17,4,38.1,38.1,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,4,21,1,5.3,7.6,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,4,.,2,.,.,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,4,24,3,5.1,8.9,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,4,21,4,7.6,8.6,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,5,19,1,20.3,17.8,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,5,19,2,17.3,17.8,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,5,20,3,4.6,7.4,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,5,20,4,5.1,5.1,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,6,16,1,0.8,1.8,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,6,20,2,1,1.5,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,6,18,3,4.6,6.4,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,6,18,4,.,8.4,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,7,21,1,15.2,20.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,7,21,2,12.7,15.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,7,20,3,30.5,41.9,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,7,21,4,40.6,44.7,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,8,19,1,3.8,7.6,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,8,20,2,24.9,29.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,8,18,3,24.1,40.6,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,8,18,4,10.2,13.7,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,9,15,1,4.8,5.6,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,9,15,2,7.1,5.1,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
