"Site number","Site name","Latitude","Longitude","Year","Annual cottonwood leaf litterfall g m2","Annual willow leaf litterfall g m2","Annual russian olive leaf litterfall g m2","Annual saltcedar leaf litterfall g m2","Annual elm leaf litterfall g m2","Annual tree willow leaf litterfall g m2","Annual coyote leaf litterfall g m2","Annual baccharis willoe leaf litterfall g m2","Annual new mexico olive leaf litterfall g m2","Annual indigo bush leaf litterfall g m2","Annual woodfall g m2","Annual cottonwood reproductive litterfall g m2","Annual willow reproductive litterfall g m2","Annual russian olive reproductive litterfall g m2","Annual elm reproductive litterfall g m2","Annual saltcedar reproductive litterfall g m2","Annual total reproductive litterfall g m2","Annual total willow g m2","Annual total litterfall g m2"
13,"Harrison",35.0150622305,-106.673722917,2014,168.11,34.83,52.37,0.24,2.41,0,0,0,0,0,48.83,11.31,1.03,9.58,0,0.01,3.49,4.87,45.41
13,"Harrison",35.0150622305,-106.673722917,2015,206.62,35.61,82.12,0.39,5.69,0,0,0,0.03,0,20.77,12.51,9.64,14.75,0,0.38,5.18,4.62,53.09
13,"Harrison",35.0150622305,-106.673722917,2016,128.18,33.8,92.41,0.16,5.8,0,0,0,0.01,0,17.14,32.18,4.37,30.47,0,0,4.6,4.67,47.5
13,"Harrison",35.0150622305,-106.673722917,2017,183.09,26.63,62.53,0.05,5.85,0,0,0,0.02,0,66.81,7.21,0.84,9.23,1.03,0,1.82,4.9,51.09
13,"Harrison",35.0150622305,-106.673722917,2018,193.4,21.43,69.06,0.53,10.5,0,0,0,1.73,0.01,49.77,29.85,2.21,16.57,0.55,0.01,6.6,3.14,56.58
13,"Harrison",35.0150622305,-106.673722917,2019,218.7,34.01,65.2,0.21,9.42,0,0,0,0.01,0.01,36.06,31.86,0.26,7.19,0.02,0,5.19,4.44,54.67
13,"Harrison",35.0150622305,-106.673722917,2020,236.32,18.53,57.4,0.6,8.11,0,0,0,0.01,0,27.74,48.95,4.41,10.66,0.08,0,8.37,2.42,56.92
13,"Harrison",35.0150622305,-106.673722917,2021,192.76,19.39,84.7,0.61,8.23,0,0,0,0.24,0.08,22.94,42.6,2.71,14.53,0,0,7.76,2.52,53.59
13,"Harrison",35.0150622305,-106.673722917,2022,257.74,11.72,72.61,0.21,23.83,0,0,0,1.85,0.01,46.52,28.2,1.6,20.79,0.07,0,6.3,1.54,62.52
13,"Harrison",35.0150622305,-106.673722917,2023,287.76,17.08,72.29,0.67,18.05,17.08,5.03,0.01,0,0.02,87.6,36.82,0.8,9.43,0.12,0.04,5.25,2.93,74.05
13,"Harrison",35.0150622305,-106.673722917,2024,223.77,0,51.13,0.32,15.74,0.01,11.42,0,0.7,0,42.03,61.53,0.7,7.43,1.1,0.01,9.28,1.45,58.04
14,"Sevilleta",34.2586573236,-106.883372761,2003,118.34,4.32,27.74,38.14,0,0,0,0,0,0.12,20.85,0,0,0,0,0,0.16,0.57,27.58
14,"Sevilleta",34.2586573236,-106.883372761,2004,163.98,1.85,44.47,35.54,0,0,0,0,0.62,0.05,50.4,0,0,0,0,0,2.88,0.23,42.12
14,"Sevilleta",34.2586573236,-106.883372761,2005,201.73,2.94,51.62,47.84,0,0,0,0,0,0.01,38.38,0,0,0,0,0,4.28,0.38,50.23
14,"Sevilleta",34.2586573236,-106.883372761,2006,180.27,3.18,77.66,37.66,0,0,0,0,0,0.59,47.53,0,0,0,0,0,4.07,0.41,50.26
14,"Sevilleta",34.2586573236,-106.883372761,2007,242.92,2.68,94.02,46.76,0,0,0,0,0,0.16,65.79,28.28,0.11,7.41,0,1.96,5.18,0.35,65.75
14,"Sevilleta",34.2586573236,-106.883372761,2008,333.48,9.2,51.07,68.48,0,0,0,0,0,0.65,55.68,10.93,0.06,4.27,0,5.04,2.86,1.42,72.15
14,"Sevilleta",34.2586573236,-106.883372761,2009,160.6,0.81,53.38,56.46,0,0,0,0,0.01,0.08,41.91,40.46,0,9.25,0,0.62,6.56,0.1,48.59
14,"Sevilleta",34.2586573236,-106.883372761,2010,297.89,0.84,89.33,67.92,0,0,0,0,0.02,0.26,64.25,37.36,0.12,16.7,0,11.31,8.56,0.09,77.85
14,"Sevilleta",34.2586573236,-106.883372761,2011,213.05,0.74,35.32,44.72,0.01,0,0,0,0.09,0,52.39,31,0.01,2.87,0,2,4.85,0.23,51.77
14,"Sevilleta",34.2586573236,-106.883372761,2012,220.05,0.27,32.29,99.1,0.08,0,0,0,0.62,0,47.96,15.98,0,0.42,0,2.27,2.43,0.03,55.56
14,"Sevilleta",34.2586573236,-106.883372761,2013,220.18,1.43,23.93,78.28,0.01,0,0,0,0,0.01,20.53,10.14,0,1.5,0,2.72,1.98,0.18,48.04
14,"Sevilleta",34.2586573236,-106.883372761,2014,222.18,4.09,21.53,132.89,0,0,0,0,2,0.06,62.53,8.6,0.02,0.03,0,3.7,2.07,0.52,64.14
14,"Sevilleta",34.2586573236,-106.883372761,2015,302.47,0.47,31.77,127.19,0.08,0,0,0,0.02,0.01,43.5,11.8,0.18,0.14,0,7.81,2.58,0.05,69.47
14,"Sevilleta",34.2586573236,-106.883372761,2016,197.22,3.44,16.19,135.83,0.16,0,0,0,0.2,0,68.25,35.76,0.01,0.3,0,0.07,0.05,0.6,61.12
14,"Sevilleta",34.2586573236,-106.883372761,2017,212.34,5.74,21.74,79.47,0,0,0,0,0.26,0,1179.15,31.91,0.01,0.07,0,0.02,0.06,0.77,201.19
14,"Sevilleta",34.2586573236,-106.883372761,2018,256.68,0.19,31.9,117.56,0.01,0,0,0,0.18,0,100.18,41.34,0.01,1.55,0,0.02,5.83,0.07,67.37
14,"Sevilleta",34.2586573236,-106.883372761,2019,240.65,0.37,29.81,77.04,0,0,0,0,2.25,0.01,103.73,30.86,0.06,0.47,0,17.73,6.39,0.04,68.47
14,"Sevilleta",34.2586573236,-106.883372761,2020,201.71,0.73,25.5,83.77,0,0,0,0,5.94,1.86,812.57,25.03,0.01,2.02,0.01,0,3.51,0.09,152.84
14,"Sevilleta",34.2586573236,-106.883372761,2021,241.14,0.24,37.23,59.9,1.39,0,0,0,6.48,0.02,96.42,31.08,0.05,3.06,0,2.23,4.78,0.02,63.46
14,"Sevilleta",34.2586573236,-106.883372761,2022,226.88,0.05,39.88,45.38,0,0,0,0,8.18,0.02,55.83,25.74,0.08,2.23,0.02,0.02,3.91,0,53.48
14,"Sevilleta",34.2586573236,-106.883372761,2023,241.63,0.02,49.77,66.53,0,0.02,0,0,7.17,0,67.93,50.38,0.01,2,0.03,1.81,7.37,0,65.19
14,"Sevilleta",34.2586573236,-106.883372761,2024,235.81,0,42.32,70.8,0,0.1,0.26,0,9.35,0,210.04,61.18,0,7.34,0.02,2.95,9.49,0.04,85.82
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2003,34.32,0.06,2.76,5.21,2.25,0,0,0,0,0,5.54,0,0,0,0,0,0,0,6.68
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2004,76.17,7.37,11.47,1.18,0,0,0,0,0,0.02,48.96,0,0,0,0,0,6.76,0.95,27.09
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2005,56.14,5.78,13.03,7.49,0.01,0,0,0,0,0,18.35,0,0,0,0,0,5.86,0.74,52.32
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2006,88.52,10.29,19.16,9.71,0,0,0,0,0.08,0.01,86.08,0,0,0,0,0,8.74,1.32,45.77
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2007,73.36,15.74,22.17,9.52,0.01,0,0,0,0,0,24.85,25.28,3.11,0.97,0,0.11,5.99,2.11,28.59
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2008,106.12,9.92,1.74,0.93,0.01,0,0,0,0,0,290.06,29.63,1.94,0.1,0,2.69,6.79,1.28,71.82
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2009,105.16,11,1.6,9.69,0.09,0,0,0,0.25,0,13.86,10.3,2.04,0.02,0,0.01,3.62,1.42,26.74
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2010,53.34,3.9,2.86,17.8,0,0,0,0,0,0.01,18.85,28.93,3.73,0.29,0,0.71,8.91,0.99,136.42
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2011,117.17,6.98,7.26,44.46,0.24,0,0,0,0.31,0.03,137.12,40.38,2.38,0.69,0,4.01,17.31,0.89,63.94
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2012,135.68,17.8,0.9,2.39,0.01,0,0,0,0.55,0,44.98,24.96,2.29,0.01,0,0,5.16,2.3,39.02
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2013,119.16,21.9,0.5,0.05,0.02,0,0,0,0,0,99.28,38.37,1.9,0.04,0,0.02,7.58,2.83,44.28
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2014,101.61,23.62,0.59,0.36,0.01,0,0,0,0.19,0,20.58,43.96,8.6,0.01,0,0.01,7.9,3.06,45.54
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2015,93.33,20.57,1.07,9.36,0.01,0,0,0,0.01,0,308.48,17.82,5.81,0.03,0,0.15,4.7,2.78,68.68
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2016,46.66,22.34,1.28,13.34,3.43,0,0,0,9.65,0.15,38.7,36.89,1.06,0.19,0,0.02,0.96,2.89,29.09
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2017,64.81,17.27,2.93,11.61,12.56,0,0,0,13.78,0,22.43,15.22,0.72,0.49,0.01,1.92,1.2,2.22,29.48
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2018,94.27,10.51,10.91,22.28,7.31,0,0,0,8.65,1.87,19.5,41.28,2.59,1.14,0.05,0.01,8.48,1.35,42.49
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2019,107.62,19.21,12.14,31.03,0.81,0,0,0,1.11,0,24.65,17.86,1.06,1.9,0.05,4.02,5.68,2.66,46.17
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2020,127.23,20.34,14.27,25.59,0.17,0,0,0,4.7,0.01,38.82,25.36,3.65,11.1,0.27,0.01,5.9,5.05,46.14
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2021,129,25.46,25.84,28.94,0.01,0,0,0,5.35,0.03,34.41,40.87,2.44,13.77,0,1.95,8.44,3.3,51.14
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2022,133.45,31.17,16.54,31.19,0.52,0,0,0,0,0.22,23.28,37.47,2.29,9.84,0.08,4.22,7.38,4.04,50.19
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2023,117.93,14.48,22.07,39.62,0.18,14.48,4.35,0,0.55,0.01,43.87,38.16,3.63,4.96,0.07,7.7,7.28,2.43,54.14
15,"Valencia Cleared",34.6486505386211,-106.739180486447,2024,68.69,0,27.03,28.83,0.01,14.91,11.57,0,0.4,0,29.54,36.51,1.59,6.24,0.06,1.23,8.99,3.42,48.79
16,"Valencia Forest",34.6472147233729,-106.738922864063,2003,113.98,4.23,23.65,137.74,0,0,0,0,0,0,9.15,0,0,0,0,0,0.02,0.55,37.85
16,"Valencia Forest",34.6472147233729,-106.738922864063,2004,130.66,0.95,52.53,220.78,0,0,0,0,1.05,0.01,127.68,0,0,0,0,0,11.34,0.12,82.23
16,"Valencia Forest",34.6472147233729,-106.738922864063,2005,176.35,1.07,59.13,186.02,0,0,0,0,0,0.01,143.17,0,0,0,0,0,12.02,0.13,86.72
16,"Valencia Forest",34.6472147233729,-106.738922864063,2006,191.16,0.5,49.88,188.9,0,0,0,0,0,0,239.07,0,0,0,0,0,14.4,0.05,102.76
16,"Valencia Forest",34.6472147233729,-106.738922864063,2007,19.78,0.07,22.56,88.21,0,0,0,0,0,0,53.94,2.52,0,0.79,0,14.96,2.76,0,30
16,"Valencia Forest",34.6472147233729,-106.738922864063,2008,18.42,0,60.99,23.1,0,0,0,0,0,0,598.59,3.55,0.01,6.34,0,1.44,5.8,0,103.77
16,"Valencia Forest",34.6472147233729,-106.738922864063,2009,6.56,2.44,5.22,0.14,0.01,0,0,0,0,0,137.36,0.29,0,0.17,0,1.59,5.71,0.31,34.19
16,"Valencia Forest",34.6472147233729,-106.738922864063,2010,4.23,1.77,0.1,0.02,0,0,0,0,0,0,773.69,0.68,0.01,0.32,0,0,11.06,0.22,125.64
16,"Valencia Forest",34.6472147233729,-106.738922864063,2011,4.43,0.28,0.03,0.04,0,0,0,0,0,0,10.13,0.54,0.02,0.01,0,0,24.02,0.03,44.66
16,"Valencia Forest",34.6472147233729,-106.738922864063,2012,14.65,0.29,0.13,0.03,0,0,0,0,0,0,11.99,2.74,0.01,0.1,0,0.02,3.84,0.03,16.35
16,"Valencia Forest",34.6472147233729,-106.738922864063,2013,13.7,0.95,0.02,0.03,0,0,0,0,0,0,7.46,0.31,0.47,0.01,0,0,11.61,0.11,56.77
16,"Valencia Forest",34.6472147233729,-106.738922864063,2014,6.17,9.15,0.06,5.5,0,0,0,0,0,0,8.62,1.69,19.69,0.01,0,0,3.35,1.19,8.75
16,"Valencia Forest",34.6472147233729,-106.738922864063,2015,16.2,7.7,5.31,0.01,0.26,0,0,0,0,0,4.64,2.27,0.1,0.01,0,0,5.51,0.99,16.1
16,"Valencia Forest",34.6472147233729,-106.738922864063,2016,14.52,9.1,7.97,0.02,0.08,0,0,0,0,0,1.85,5.82,1.29,1.3,0,0,1.17,1.17,16.77
16,"Valencia Forest",34.6472147233729,-106.738922864063,2017,22.27,24.88,8.44,0.01,0.12,0,0,0,0.02,0,7.61,2.8,0.07,1.19,0,0.23,2.12,3.22,27.52
16,"Valencia Forest",34.6472147233729,-106.738922864063,2018,43.23,8.93,8.66,0.54,0.01,0,0,0,0.03,0,11.87,3.12,0.63,3.5,0,0,5.83,1.19,20.2
16,"Valencia Forest",34.6472147233729,-106.738922864063,2019,37.32,8.37,11.03,0.12,0.01,0,0,0,0,0,6.14,2.3,0,3.46,0,0.01,4.26,1.29,26.95
16,"Valencia Forest",34.6472147233729,-106.738922864063,2020,33.58,10.83,11.95,0.12,0.08,0,0,0,0.02,0,11.42,10.25,0.35,4.85,0.96,0,4.72,1.39,18.45
16,"Valencia Forest",34.6472147233729,-106.738922864063,2021,39.55,11.3,14.74,0.29,0.01,0,0,0,0,0.09,12.42,21.55,2.27,5.27,0,0,5.07,1.45,25.21
16,"Valencia Forest",34.6472147233729,-106.738922864063,2022,50.02,10.22,19.2,0.17,8.01,0,0,0,0.08,0,32.4,11.83,2.07,5.87,0.02,0,10.71,1.31,29.34
16,"Valencia Forest",34.6472147233729,-106.738922864063,2023,72.87,7.9,15.58,0.14,0.27,7.9,1.58,0,0.01,0,26.33,11.12,4.22,4.37,0.03,0.02,6.25,1.26,29.56
16,"Valencia Forest",34.6472147233729,-106.738922864063,2024,54.82,0,18.18,0.15,0.26,9.65,5.27,0.01,0,0,48.17,16.73,0.03,3.08,0.03,0,9.11,1.92,39.47
17,"Montano",35.1452628545,-106.680332705,2004,30.67,0,9.62,0.01,0,0,0,0,0,0,15.86,0,0,0,0,0,3.15,0,11.26
17,"Montano",35.1452628545,-106.680332705,2005,28.58,0.01,25.7,0.32,0,0,0,0,0,0,232.83,0,0,0,0,0,2.75,0,51.75
17,"Montano",35.1452628545,-106.680332705,2006,24.93,2.51,11.92,1.35,0.02,0,0,0,1.22,0,238,0,0,0,0,0,2.51,0.36,49.18
17,"Montano",35.1452628545,-106.680332705,2007,48.57,2.55,1.74,0.02,0.1,0,0,0,0,0,16.15,12.15,0.01,0.01,0,0,2.19,0.46,13.2
17,"Montano",35.1452628545,-106.680332705,2008,35.9,5.38,6.39,5.6,0.1,0,0,0,2.31,0,698.04,13.39,0.01,0.01,0,0.03,2.71,0.69,110.2
17,"Montano",35.1452628545,-106.680332705,2009,65.27,14.13,25.89,0.05,0.19,0,0,0,0.8,0,102.82,43.96,2.4,0.16,0,0.96,7.09,1.84,44.09
17,"Montano",35.1452628545,-106.680332705,2010,39,4.2,29.01,0.25,0.18,0,0,0,10.23,0,43.64,21.51,1.96,0.09,0,0.02,4.51,0.59,26.25
17,"Montano",35.1452628545,-106.680332705,2011,65.01,27.61,30.55,8.58,0.01,0,0,0,2.46,0,150.36,10.49,0.77,11.64,0,0.02,5.5,3.59,46.22
17,"Montano",35.1452628545,-106.680332705,2012,86.63,6.13,73.08,0.01,0.01,0,0,0,0,0.23,47.53,13.49,5.79,0.8,0,0,4.63,0.8,35.19
17,"Montano",35.1452628545,-106.680332705,2013,71.68,9.48,40.61,0.83,0.32,0,0,0,1.52,0,123.13,11.53,0.02,2.78,0,1.39,2.87,1.23,40.33
17,"Montano",35.1452628545,-106.680332705,2014,85.71,16.4,47.62,0.02,0.08,0,0,0,0.08,0,85.65,15.46,6.78,2.14,0,0.09,4.6,2.15,39.08
17,"Montano",35.1452628545,-106.680332705,2015,80,26.75,44.42,0.04,0,0,0,0,1.4,0,82.91,17.63,4.16,3.92,0,0,4.01,3.47,37.62
17,"Montano",35.1452628545,-106.680332705,2016,69.33,20.07,58.02,6.63,0,0,0,0,0.03,0.01,147.55,31.65,2.18,4.74,0,0,1.47,2.63,49.01
17,"Montano",35.1452628545,-106.680332705,2017,81.14,39.68,42.96,0.04,0.03,0,0,0,0.61,0,44.87,16.79,0.09,7.62,0,0.01,1.29,5.15,34.39
17,"Montano",35.1452628545,-106.680332705,2018,119.89,15.05,66.63,3.29,0.02,0,0,0,0.49,0.16,64.9,38.25,0.03,3.28,0.01,0,5.96,1.99,44.94
17,"Montano",35.1452628545,-106.680332705,2019,156.54,22.04,59.95,0.19,0.02,0,0,0,0.32,0.03,96.78,28.71,3.78,4.3,0.01,0,8.67,2.96,61.96
17,"Montano",35.1452628545,-106.680332705,2020,149.56,21.02,51.51,0.36,0.01,0,0,0,0.71,0.24,51.53,32.74,8.09,5.71,0,0.23,6.88,2.71,46.08
17,"Montano",35.1452628545,-106.680332705,2021,70.47,11.8,45.87,0.18,0,0,0,0,0.68,0.09,64.34,58.56,2.81,3.14,0,0.01,8.68,1.52,36.92
17,"Montano",35.1452628545,-106.680332705,2022,122.8,11.71,36.56,0.16,0,0,0,0,0.66,0.02,30.9,20.12,1.26,3.95,0.02,0.01,3.95,1.51,32.8
17,"Montano",35.1452628545,-106.680332705,2023,152,7.36,56.77,0.17,0,7.36,0,0,0.47,0,27.19,33.31,1.84,5.32,0,0.01,6.87,1.01,42.3
17,"Montano",35.1452628545,-106.680332705,2024,85.89,0,29.05,0.67,0.02,4.98,0.24,0.02,0.15,0,36.38,36.67,4.87,5.93,0.01,0,6.42,0.66,30.12
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2004,197.08,0.73,0.56,3.2,0,0,0,0,0,0,55.67,0,0,0,0,0,0.04,0.09,33.87
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2005,322.38,1.51,0.65,3.5,0,0,0,0,0,0,35.67,0,0,0,0,0,1.63,0.19,50.44
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2006,207.81,0.8,0.3,8.11,0,0,0,0,0,0,49.95,0,0,0,0,0,4.56,0.1,40.72
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2007,119.6,1.18,0.1,4.15,0.03,0,0,0,0,0,28.96,19.48,0,0.02,0,0,2.71,0.15,27.06
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2008,255.08,0.82,0.01,12.77,0.01,0,0,0,0,0,153.24,17.76,0.05,0,0,0.01,5.82,0.1,66.22
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2009,337.49,2.71,0.09,12.58,0.01,0,0,0,0.01,0,73.08,5.83,2.31,0,0,0,1.43,0.35,57.93
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2010,235.99,0.84,0.1,11.26,0,0,0,0,0,0,31.99,31.25,0.03,0.02,0,0,6.35,0.1,46.06
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2011,428.23,0.48,0.11,6.55,0,0,0,0,0.02,0.05,69.35,21.35,0.32,0.09,0,0.31,3.57,0.05,75.27
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2012,268.25,0.78,0.18,1.54,0,0,0,0,1.65,0.01,133.89,16.84,0.23,0.1,0,0.04,2.88,0.1,58.41
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2013,323.74,0.89,0.01,0.25,0,0,0,0,0.01,0.08,31.4,24.75,0,0,0,0,3.85,0.11,55.56
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2014,342.97,3.75,0.11,2.73,0.01,0,0,0,0.24,0,13.91,41.23,0.64,0,0,0,5.94,0.48,56.35
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2015,454.96,0.81,0.02,4.96,0.01,0,0,0,7.47,0,35.24,18.84,0.39,0.01,0,0.01,3.13,0.1,71.18
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2016,308.75,13.39,0.95,7.19,0.08,0,0,0,0.02,0.01,189.25,56.98,0.34,0.58,0,0,0.65,1.79,80.92
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2017,375.81,8.69,0.04,2.54,0.05,0,0,0,0.2,0,88.23,8.03,0.12,0.02,0,0.02,1.34,1.12,68.2
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2018,324.19,0.82,0.62,7.35,0.18,0,0,0,12.87,0,94.73,25.27,0,0.09,0.01,0.01,4.14,0.1,72.28
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2019,264,0.14,0.48,8.2,0.02,0,0,0,2.12,0,45.33,17.15,0.02,0.05,0.03,0.65,2.7,0.01,49.11
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2020,551.44,0.92,0.55,16.28,0.36,0,0,0,19.28,0,39.23,54.84,0.16,0.02,0.05,0.08,7.8,0.1,92.27
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2021,616.69,0.99,0.41,13.7,0.59,0,0,0,6.26,0,40.09,45.42,0.03,0.01,0.01,0.03,6.94,0.12,99.95
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2022,306.11,0.42,0.53,15,0.41,0,0,0,16.08,2.08,40.42,27.37,0.01,0.01,0,0.09,4.63,0.05,58.33
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2023,408.66,0.8,0.61,22.75,2.77,0.8,0.59,0.01,30.72,1.06,187.38,42.02,0.1,0.03,0.06,1.14,7.52,0.13,102.55
18,"Reynolds Cleared",34.6567454384498,-106.738602216398,2024,138.82,0,0.01,3.09,0,0.1,0,0,0.02,0,55.71,0.42,0,0.01,0.01,0,0.13,0.01,27.53
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2004,256.51,4.13,10.81,136.91,0.01,0,0,0,0,0,173.75,0,0,0,0,0,2.13,0.54,78.32
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2005,293.07,14.46,21.72,167.63,0,0,0,0,0.01,0,211.13,0,0,0,0,0,7.75,2.09,101.56
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2006,228.71,7.86,8.14,111.85,0,0,0,0,0,0,107.27,0,0,0,0,0,14.57,1.01,76.1
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2007,324.19,8.6,21.2,157.22,0,0,0,0,0,0,176.67,64.4,0.4,0.14,0,9.6,10.52,1.11,103.19
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2008,472.64,15.87,34.01,271.11,0,0,0,0,0,0.01,488.17,65.08,0.24,0.03,0,0.89,9.1,2.06,177.86
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2009,424.69,4.22,21.49,152.52,0.04,0,0,0,1,0,86.16,20.21,0.02,0.13,0,11.3,5.27,0.54,97.2
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2010,397.19,2.33,14.91,116.85,0,0,0,0,0.08,0.02,104.7,99.91,7.17,0.89,0,2.8,14.42,0.32,98.54
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2011,443.98,3.71,12.3,85.22,0,0,0,0,0.01,0.09,77.64,83.32,0.18,0.02,0,2.75,11.33,0.46,93.51
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2012,499.52,1.7,3.62,33.76,0,0,0,0,0.01,0,243.55,57.64,0.32,0,0,0,7.54,0.21,110.3
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2013,548.2,2.16,0.56,21.44,0,0,0,0,0,0.09,476.86,70.09,0.16,0.01,0,0,9.12,0.3,146.08
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2014,344.21,3.75,0.47,19.02,0.01,0,0,0,0.02,0.02,22.07,70.92,0.12,0,0,0.01,9.8,0.47,62.72
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2015,522.04,1.73,0.35,17.61,0.23,0,0,0,0.01,0,317.15,61.63,0,0,0,2.31,10.09,0.21,127.33
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2016,398.93,0.79,0.34,28.5,0.01,0,0,0,0.04,0,63.83,112.17,1.09,0.02,0.01,2.32,1.27,0.12,82.39
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2017,398.32,0.36,0.49,15.81,0.01,0,0,0,0,0,189.85,30.8,0.03,0.01,0.01,0.56,0.69,0.03,85.31
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2018,502.94,3.6,1.89,15.36,0,0,0,0,0.01,0.01,129.36,89.31,0.01,0.05,0.01,0.01,11.86,0.46,102.59
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2019,650.28,1.98,1.79,31.23,0.01,0,0,0,0.03,0.09,149.62,71.46,0.02,0.02,0.03,0.52,10.11,0.27,120.83
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2020,519.14,2.92,1.66,35.88,0.02,0,0,0,0.04,0.02,409.75,70.74,0.4,0.05,0.26,1.57,10.11,0.4,137.73
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2021,524.98,2.48,2.98,33.32,0.01,0,0,0,0,0,49.82,112.39,0.07,0.08,0.03,1.06,15.26,0.3,98.53
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2022,526.61,0.7,0.39,37.42,0.01,0,0,0,0,0.01,81.1,23.49,0.01,0.24,0,0.02,5.22,0.08,91.83
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2023,328.32,0.63,3.44,28.2,0.04,0.63,0,0,0.01,0.01,8951.75,38.8,0.01,0,0.03,0.03,10.38,0.3,1229.75
19,"Reynolds Forest",34.6576114622675,-106.739436295579,2024,69.61,0,4.77,19.13,0,2.39,0,21.48,0.01,0.02,1464.07,26.5,0.04,4.61,0.03,0.01,11.61,0.3,227.86
20,"Route 66",35.1006512603,-106.691932797,2005,118.35,11.56,12.14,8.07,42.35,0,0,0,11.54,0.11,317.19,0,0,0,0,0,4.16,1.65,74.32
20,"Route 66",35.1006512603,-106.691932797,2006,91.05,21.6,14.38,5.15,49.49,0,0,0,0.18,0,83.78,0,0,0,0,0,13.28,2.8,52.36
20,"Route 66",35.1006512603,-106.691932797,2007,97.04,18.52,21.38,0.16,40.13,0,0,0,0,0,449.61,19.62,3.11,5.13,0,0.02,5.68,2.4,91.28
20,"Route 66",35.1006512603,-106.691932797,2008,159.84,14.16,25.06,2.74,44.9,0,0,0,0,0.09,188.7,37.07,0.04,18.37,0,0,7.48,1.86,68.79
20,"Route 66",35.1006512603,-106.691932797,2009,145.61,24.33,64.11,2.59,74.59,0,0,0,2.49,0,117.65,39.03,0.35,21.5,0,0.19,9.35,3.16,71.45
20,"Route 66",35.1006512603,-106.691932797,2010,201.19,23.69,68,4.7,72.38,0,0,0,0.15,0,30.3,53.32,0,59.46,0,0.01,18.34,3.06,74.79
20,"Route 66",35.1006512603,-106.691932797,2011,271.63,26.78,39.92,5.99,82.77,0,0,0,0,0.11,120.9,40.42,4.14,23.37,0,0.56,9.96,3.51,86.79
