"Site number","Site name","Latitude","Longitude","Reaches","Year","Annual cw gm per m2","Annual will gm per m2","Annual ro gm per m2","Annual sc gm per m2","Annual elm gm per m2","Annual seep gm per m2","Annual nmol gm per m2","Annual indbu gm per m2","Annual woody gm per m2","Annual repcw gm per m2","Annual repwil gm per m2","Annual repruol gm per m2","Annual repelm gm per m2","Annual repsc gm per m2","Annual totalrepro2 gm per m2"
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2006,180.27,3.18,77.66,37.67,0,0,0,0.59,47.53,0,0,0,0,0,4.07
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2007,242.91,2.68,94.02,46.76,0,0.09,0,0.16,65.79,28.28,0.11,7.41,0,1.98,5.18
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2008,333.48,9.2,51.06,68.49,0,1.87,0,0.65,55.67,10.92,0.06,4.27,0,5.04,2.86
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2009,160.6,0.81,53.38,56.45,0,0,0.01,0.08,41.91,40.46,0,9.25,0,0.61,6.56
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2010,297.9,0.84,89.33,67.92,0,0.02,0.02,0.26,64.25,37.37,0.12,16.7,0,11.31,8.56
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2011,213.06,0.74,35.32,44.72,0.01,1.1,0.09,0,52.4,31,0.01,2.87,0,2,4.85
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2012,220.04,0.27,32.29,99.1,0.08,0.01,0.62,0,47.96,15.97,0,0.42,0,2.27,2.43
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2013,221.98,1.43,23.98,78.34,0.01,0,0,0.01,20.8,10.37,0,1.58,0,2.87,2.04
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2014,222.18,4.09,21.53,132.89,0,0,2,0.06,62.53,8.6,0.02,0.03,0,3.7,2.07
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2015,302.47,0.47,31.77,127.18,0.08,0.01,0.02,0.01,43.5,11.8,0.18,0.14,0,7.81,2.58
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2016,197.22,3.44,16.19,135.83,0.16,1.24,0.2,0,68.25,35.76,0.01,0.3,0,0.07,0.05
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2017,212.36,5.74,21.74,79.47,0,0.24,0.26,0,1179.15,31.91,0.01,0.07,0,0.02,0.06
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2018,256.66,0.19,31.9,117.56,0.01,0.38,0.18,0,100.19,41.34,0.01,1.55,0,0.02,5.83
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2019,240.65,0.37,29.81,77.03,0,0,2.25,0.01,103.73,30.86,0.06,0.47,0,17.73,6.39
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2020,201.71,0.73,25.5,83.77,0,0.01,5.94,1.86,1533.42,25.03,0.01,2.02,0.01,0,3.51
14,"Sevilleta",34.25834233,-106.8831845,"San Acacia Reach",2021,241.14,0.24,37.23,59.89,1.39,0,6.48,0.02,96.42,31.08,0.05,3.06,0,2.23,4.79
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2003,34.32,0.06,2.75,5.21,2.25,0,0,0,5.54,0,0,0,0,0,0
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2004,76.17,7.37,11.47,1.18,0,0,0,0.02,48.96,0,0,0,0,0,6.76
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2005,56.14,5.78,13.03,7.49,0.01,0,0,0,18.35,0,0,0,0,0,5.86
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2006,88.52,10.29,19.16,9.71,0,0,0.08,0.01,86.08,0,0,0,0,0,8.74
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2007,73.36,15.74,22.17,9.52,0.01,0.61,0,0,24.85,25.28,3.11,0.97,0,0.11,6
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2008,106.12,9.92,1.74,0.93,0.01,0.04,0,0,290.06,29.62,1.94,0.1,0,2.69,6.79
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2009,105.16,11,1.6,9.69,0.09,0.01,0.25,0,13.86,10.3,2.04,0.02,0,0.01,3.63
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2010,53.34,3.91,2.86,17.8,0,3.69,0,0.01,18.85,28.93,3.73,0.29,0,0.71,8.91
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2011,117.17,6.98,7.26,44.46,0.24,0.01,0.31,0.03,137.12,40.38,2.38,0.69,0,4.01,17.31
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2012,135.68,17.81,0.9,2.39,0.01,0,0.55,0,44.98,24.96,2.29,0.01,0,0,5.16
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2013,119.16,21.9,0.5,0.05,0.02,0,0,0,99.28,38.37,1.9,0.04,0,0.02,7.58
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2014,101.61,23.62,0.59,0.36,0.01,0.15,0.19,0,20.58,43.97,8.6,0.01,0,0.01,7.9
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2015,93.33,20.57,1.07,9.36,0.01,0.92,0.01,0,308.48,17.82,5.81,0.03,0,0.15,4.7
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2016,46.66,22.34,1.28,13.34,3.43,0.01,9.65,0.15,38.7,36.89,1.06,0.19,0,0.02,0.96
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2017,64.8,17.27,2.93,11.61,12.56,0,13.78,0,22.43,15.22,0.72,0.49,0.01,1.92,1.2
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2018,94.27,10.5,10.91,22.28,7.31,0,8.65,1.87,19.5,41.28,2.59,1.14,0.05,0.01,8.48
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2019,107.62,19.21,12.14,31.03,0.81,1.47,1.11,0,24.65,17.87,1.06,1.9,0.05,4.02,5.68
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2020,130.4,20.53,16.23,28.37,0.17,18.66,4.7,0.01,506.04,35.44,3.8,11.25,0.27,0.01,7.37
15,"Valencia Cleared",34.64863444,-106.7391728,"Isleta Reach",2021,128.99,25.46,25.84,28.94,0.01,0,5.35,0.03,34.41,40.87,2.44,13.77,0,1.95,8.46
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2003,113.98,4.23,23.65,137.74,0,0,0,0,9.15,0,0,0,0,0,0.02
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2004,130.66,0.95,52.53,220.78,0,0,1.05,0.01,127.68,0,0,0,0,0,11.34
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2005,176.35,1.07,59.13,186.03,0,0,0,0.01,143.17,0,0,0,0,0,12.02
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2006,191.16,0.5,49.88,188.9,0,0,0,0,239.07,0,0,0,0,0,14.4
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2007,19.78,0.07,22.57,88.21,0,0.01,0,0,53.95,2.52,0,0.78,0,14.96,2.76
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2008,18.41,0,60.99,23.1,0,0.01,0,0,598.59,3.55,0.01,6.34,0,1.44,5.8
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2009,6.56,2.44,5.22,0.14,0.01,0,0,0,137.36,0.29,0,0.17,0,1.59,5.71
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2010,4.23,1.77,0.1,0.02,0,0,0,0,773.69,0.68,0.01,0.32,0,0,11.06
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2011,4.43,0.28,0.03,0.04,0,0,0,0,10.12,0.54,0.02,0.01,0,0,24.02
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2012,14.66,0.29,0.13,0.03,0,0,0,0,11.99,2.74,0.01,0.1,0,0.02,3.84
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2013,13.7,0.95,0.02,0.03,0,0,0,0,7.46,0.31,0.47,0.01,0,0,11.61
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2014,6.18,9.15,0.06,5.5,0,0.15,0,0,8.62,1.69,19.69,0.01,0,0,3.35
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2015,16.2,7.7,5.31,0.01,0.26,0,0,0,4.64,2.27,0.1,0.01,0,0,5.51
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2016,14.52,9.1,7.97,0.02,0.08,0,0,0,1.85,5.82,1.29,1.3,0,0,1.17
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2017,22.28,24.88,8.44,0.01,0.12,0.02,0.02,0,7.61,2.8,0.07,1.19,0,0.23,2.12
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2018,43.23,8.93,8.66,0.54,0.01,0.16,0.03,0,11.87,3.12,0.63,3.5,0,0,5.82
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2019,37.32,8.37,11.03,0.12,0.01,1.71,0,0,6.14,2.3,0,3.46,0,0.01,4.25
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2020,33.58,10.83,11.95,0.12,0.08,0,0.02,0,11.42,10.25,0.35,4.85,0.96,0,4.73
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2021,39.54,11.3,14.74,0.29,0.01,0,0,0.09,12.42,21.56,2.27,5.27,0,0,5.07
16,"Valencia Forest",34.64716225,-106.738482,"Isleta Reach",2022,3.39,0.09,0.02,0.01,0,0,0,0,0.26,0,0,0.15,0,0,0.06
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2004,30.67,0,9.62,0.01,0,0,0,0,15.86,0,0,0,0,0,3.15
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2005,28.58,0.01,25.7,0.32,0,0,0,0,232.83,0,0,0,0,0,2.75
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2006,24.93,2.51,11.92,1.35,0.02,0.31,1.22,0,237.99,0,0,0,0,0,2.51
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2007,48.56,2.55,1.74,0.02,0.1,1.08,0,0,16.15,12.15,0.01,0.01,0,0,2.19
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2008,35.9,5.38,6.39,5.6,0.1,0,2.31,0,698.04,13.39,0.01,0.01,0,0.03,2.71
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2009,65.28,14.13,25.89,0.05,0.19,0.01,0.8,0,102.81,43.97,2.4,0.16,0,0.96,7.09
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2010,38.99,4.2,29.01,0.25,0.18,0.44,10.23,0,43.64,21.51,1.96,0.09,0,0.02,4.51
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2011,65.01,27.61,30.55,8.58,0.01,0.01,2.46,0,150.36,10.49,0.77,11.64,0,0.02,5.5
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2012,86.63,6.13,73.08,0.01,0.01,0,0,0.23,47.53,13.49,5.79,0.8,0,0,4.63
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2013,71.68,9.48,40.61,0.83,0.32,0,1.52,0,123.13,11.53,0.02,2.78,0,1.39,2.87
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2014,85.71,16.4,47.62,0.02,0.08,0.15,0.08,0,85.65,15.46,6.78,2.14,0,0.09,4.6
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2015,80,26.75,44.43,0.04,0,0.01,1.4,0,82.91,17.63,4.16,3.92,0,0,4.02
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2016,69.33,20.07,58.01,6.63,0,0.23,0.03,0.01,147.56,31.65,2.18,4.74,0,0,1.47
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2017,81.14,39.68,42.96,0.04,0.03,0,0.61,0,44.88,16.79,0.09,7.62,0,0.01,1.29
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2018,119.89,15.05,66.63,3.29,0.02,0.31,0.49,0.16,64.9,38.26,0.03,3.28,0.01,0,5.96
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2019,156.54,22.03,59.96,0.19,0.02,0.89,0.32,0.03,96.78,28.71,3.78,4.3,0.01,0,8.67
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2020,149.57,21.02,51.51,0.36,0.01,0,0.71,0.24,51.53,32.74,8.09,5.71,0,0.23,6.88
17,"Montano",35.14528819,-106.6803699,"Angostura Reach",2021,70.47,11.8,45.87,0.18,0,0.02,0.68,0.09,64.33,58.57,2.81,3.14,0,0.01,8.68
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2004,197.08,0.73,0.56,3.2,0,0,0,0,55.67,0,0,0,0,0,0.04
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2005,322.38,1.51,0.65,3.5,0,0,0,0,35.67,0,0,0,0,0,1.63
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2006,207.81,0.8,0.3,8.11,0,0,0,0,49.95,0,0,0,0,0,4.56
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2007,119.6,1.18,0.1,4.15,0.03,0.08,0,0,28.96,19.48,0,0.02,0,0,2.71
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2008,255.08,0.82,0.01,12.77,0.01,0.03,0,0,153.24,17.76,0.05,0,0,0.01,5.82
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2009,337.48,2.71,0.09,12.58,0.01,0.01,0.01,0,73.08,5.83,2.31,0,0,0,1.43
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2010,235.99,0.84,0.1,11.26,0,0.01,0,0,31.99,31.25,0.03,0.02,0,0,6.35
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2011,428.23,0.48,0.11,6.54,0,0.01,0.02,0.05,69.35,21.35,0.32,0.09,0,0.31,3.57
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2012,268.25,0.78,0.18,1.54,0,0,1.65,0.01,133.89,16.84,0.23,0.1,0,0.04,2.88
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2013,323.75,0.89,0.01,0.25,0,0,0.01,0.08,31.4,24.75,0,0,0,0,3.85
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2014,342.97,3.75,0.11,2.73,0.01,0,0.24,0,13.91,41.23,0.63,0,0,0,5.94
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2015,454.96,0.81,0.02,4.96,0.01,0,7.47,0,35.24,18.84,0.39,0.01,0,0.01,3.12
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2016,308.75,13.39,0.95,7.19,0.08,0.43,0.02,0.01,189.25,56.98,0.34,0.58,0,0,0.65
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2017,375.81,8.69,0.04,2.54,0.05,0.02,0.2,0,88.23,8.03,0.12,0.02,0,0.02,1.34
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2018,324.19,0.82,0.62,7.35,0.18,0,12.87,0,94.72,25.27,0,0.09,0.01,0.01,4.15
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2019,264,0.14,0.48,8.2,0.02,0,2.12,0,45.33,17.16,0.02,0.05,0.03,0.65,2.7
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2020,551.44,0.92,0.55,16.29,0.36,0,19.27,0,39.23,54.84,0.16,0.02,0.05,0.08,7.8
18,"Reynolds Cleared",34.65966431,-106.7421328,"Isleta Reach",2021,616.69,0.99,0.41,13.7,0.59,0,6.26,0,40.09,45.42,0.03,0.01,0.01,0.03,6.94
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2004,256.51,4.13,10.81,136.91,0.01,0,0,0,173.75,0,0,0,0,0,2.13
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2005,293.07,14.46,21.72,167.63,0,1.64,0.01,0,211.13,0,0,0,0,0,7.76
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2006,228.71,7.86,8.14,111.85,0,0.02,0,0,107.27,0,0,0,0,0,14.57
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2007,324.2,8.6,21.2,157.22,0,0,0,0,176.67,64.4,0.4,0.14,0,9.6,10.52
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2008,472.64,15.87,34.02,271.11,0,0.01,0,0.01,488.17,65.08,0.24,0.03,0,0.89,9.1
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2009,424.69,4.22,21.49,152.52,0.04,0,1,0,86.17,20.22,0.02,0.13,0,11.3,5.27
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2010,397.19,2.33,14.91,116.86,0,0.23,0.08,0.02,104.7,99.9,7.17,0.89,0,2.8,14.42
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2011,443.98,3.71,12.3,85.22,0,0,0.01,0.09,77.64,83.32,0.18,0.02,0,2.75,11.33
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2012,499.52,1.7,3.62,33.76,0,0,0.01,0,243.55,57.64,0.32,0,0,0,7.54
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2013,548.2,2.16,0.56,21.44,0,0.2,0,0.09,476.86,70.09,0.16,0.01,0,0,9.12
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2014,344.21,3.75,0.47,19.02,0.01,0,0.02,0.02,22.07,70.92,0.12,0,0,0.01,9.8
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2015,522.04,1.73,0.35,17.59,0.23,0.01,0.01,0,317.14,61.63,0,0,0,2.31,10.08
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2016,398.93,0.79,0.34,28.5,0.01,0.17,0.04,0,63.83,112.18,1.09,0.02,0.01,2.32,1.27
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2017,398.32,0.36,0.49,15.81,0.01,0,0,0,189.86,30.8,0.03,0.01,0.01,0.56,0.69
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2018,502.94,3.6,1.89,15.36,0,0,0.01,0.01,129.36,89.31,0.01,0.05,0.01,0.01,11.86
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2019,650.28,1.98,1.79,31.23,0.01,0.09,0.03,0.09,149.63,71.46,0.02,0.02,0.03,0.52,10.13
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2020,541.9,2.95,1.66,36.57,0.02,0.31,0.19,0.02,427.69,115.36,0.42,0.06,0.26,1.57,15.92
19,"Reynolds Forest",34.66054583,-106.7429525,"Isleta Reach",2021,524.98,2.48,2.98,33.31,0.01,0,0,0,49.82,112.39,0.07,0.08,0.03,1.06,15.26
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2005,118.35,11.56,12.14,8.07,42.35,1.24,11.55,0.11,317.19,0,0,0,0,0,4.16
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2006,91.05,21.6,14.38,5.15,49.48,0.01,0.18,0,83.78,0,0,0,0,0,13.28
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2007,97.04,18.52,21.38,0.16,40.13,0,0,0,449.61,19.62,3.11,5.13,0,0.02,5.68
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2008,159.84,14.16,25.06,2.74,44.9,0.24,0,0.09,188.7,37.07,0.04,18.37,0,0,7.48
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2009,145.61,24.33,64.11,2.59,74.59,0.09,2.49,0,117.65,39.03,0.35,21.5,0,0.19,9.35
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2010,201.19,23.69,68,4.7,72.38,0.01,0.15,0,30.3,53.32,0,59.46,0,0.01,18.34
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2011,271.63,26.78,39.92,5.99,82.77,0.38,0,0.11,120.9,40.42,4.14,23.37,0,0.56,9.96
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2012,186.49,22.5,57.21,13.85,109.52,0.02,0,0,119.26,36.39,2.8,42.86,0,0.01,16.39
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2013,208.55,27.48,55.45,4.47,101.47,3.94,0.01,0.01,334.66,20.21,6.23,22.43,0,0,7.41
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2014,171.17,22.12,46.15,7.66,102.79,0,0.8,0.4,38.33,33.3,4.31,37.09,0,0.26,11.09
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2015,205.51,21.92,79.76,7.82,127.41,0.01,0,0.01,116.92,40.4,1.9,25.49,0,0.61,13.43
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2016,270.94,20.03,63.76,13.3,128.56,3.38,0.16,0,278.25,63.72,0.17,29.57,0.48,0.02,8.27
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2017,242.18,16.96,74.49,23.82,145.23,0.4,1.86,0.01,447.87,34.27,0.19,33.66,18.45,0,7.14
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2018,224.05,10.2,43.6,17.2,105.29,0.23,4.61,0.19,185.26,68.99,1.69,23.92,10.83,0.1,17.44
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2019,234.67,13.43,97.68,15.13,95.15,0,0.01,0,56.24,21.47,0.74,51.32,3.99,1.53,10.75
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2020,352.9,14.44,84.52,13.56,109.98,0.79,0,0,2628.22,57.72,0.81,20.56,10.19,0.02,11.76
20,"Route 66",35.1006408,-106.6914783,"Angostura Reach",2021,192.08,14.62,89.3,15.76,125.63,0,0.01,0.01,90.39,81.04,0.63,38.9,2.68,0.03,17.79
21,"Badger",35.1956,-106.6402,"Angostura Reach",2006,89.08,4.1,27.31,0,0,0.54,3.54,0,4.58,0,0,0,0,0,0.04
21,"Badger",35.1956,-106.6402,"Angostura Reach",2007,319.12,20.36,1.63,0,5.85,0.01,0.75,0.92,172.08,55.81,2.74,0.01,0,0,8.94
21,"Badger",35.1956,-106.6402,"Angostura Reach",2008,342.83,18.58,1.45,2.02,16.74,1.54,7.36,0,134.53,30.16,3.42,0.01,0,0.01,8.1
21,"Badger",35.1956,-106.6402,"Angostura Reach",2009,764.96,23.13,1.87,0.05,32.64,0.01,0.48,5.65,173.43,85.26,2.88,0,0,0,14.24
21,"Badger",35.1956,-106.6402,"Angostura Reach",2010,629.6,27.96,0.08,0.02,56.67,0,0.71,7.8,34.06,72.66,6.19,0,0,0,11.38
21,"Badger",35.1956,-106.6402,"Angostura Reach",2011,592.23,22.36,4.21,0.03,100.84,0.02,0,4.04,29.84,85.2,0.81,0,0,0.46,11.46
21,"Badger",35.1956,-106.6402,"Angostura Reach",2012,273.99,31.01,0.22,0.03,71.95,1.71,0.02,1.64,129.46,56.96,3.49,0.01,0,0,9.28
21,"Badger",35.1956,-106.6402,"Angostura Reach",2013,483.14,28.74,0,0.34,56.36,0.54,0.05,4.32,252.42,67.57,7.33,0,0,0,10.16
21,"Badger",35.1956,-106.6402,"Angostura Reach",2014,426.92,27.5,1.31,0.02,91.5,0,0.03,1.37,78.12,59.32,0.74,0.01,0,0,9.31
21,"Badger",35.1956,-106.6402,"Angostura Reach",2015,497.81,16.11,0.04,0.03,74.58,0,0.02,3.27,798.15,79.58,1.97,0.01,0,0,15.83
21,"Badger",35.1956,-106.6402,"Angostura Reach",2016,567.05,28.92,1.34,0.01,94.03,0,0.91,0,108.69,83.73,2.52,0,0.02,0,4.27
21,"Badger",35.1956,-106.6402,"Angostura Reach",2017,249.31,3.76,0.81,0,52.88,18.02,0.03,0.01,157.59,52.51,1.7,0.32,3.3,0,0.81
21,"Badger",35.1956,-106.6402,"Angostura Reach",2018,198.91,27.24,0.04,0.03,0.64,0,0.22,0.28,88.18,48.8,2.81,0,0.04,0,7.62
21,"Badger",35.1956,-106.6402,"Angostura Reach",2019,236.47,38.08,0.04,0.05,0.91,0.25,0.18,0.34,29,28.96,2.41,0.16,0.04,0,4.79
21,"Badger",35.1956,-106.6402,"Angostura Reach",2020,325.8,67.08,0.03,0.02,1.77,0.03,0.98,2.11,127.47,70.62,11.74,0,0.1,0,11.46
21,"Badger",35.1956,-106.6402,"Angostura Reach",2021,295.45,65.18,4.23,0.14,2.83,0,0.21,0.63,218.36,89.02,7.99,0,0.04,0,13.04
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2006,178.52,7.92,0.02,0,0.1,0,0.39,1.08,91.55,0,0,0,0,0,0.05
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2007,300.83,8.03,0.2,0.1,0.36,0.98,0.55,0.01,253.32,42.5,0.09,0,0,0,7.66
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2008,411.59,29.67,0.63,0.72,0.08,3.03,3.79,0,210.92,50.49,0.89,0,0,0,7.58
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2009,590.32,18.72,0.12,0.04,0.03,0.23,0.02,3.95,92.95,87.11,3.72,0.01,0,0,12.12
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2010,520.07,20.79,0.72,0.13,0.27,0.16,0,1.37,93.81,69.75,3.87,0.01,0,0,9.75
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2011,839.44,25.36,1.09,0,1.83,0.15,0.03,1.1,162.07,74.52,2.37,0.04,0,0,10.79
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2012,556.99,17.4,0.54,0.01,0.54,0.01,3.16,0,116.75,87.12,0.41,0.01,0,0.02,11.61
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2013,944.21,19.25,0.81,0.03,1.43,1.35,0.92,2.71,178.8,85.9,7.68,0.17,0,0,13.6
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2014,452.93,25.35,2.19,0.13,3.03,1.4,0.14,0,38.2,86.35,1.08,0.04,0,0,11.73
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2015,492.42,19.77,1.15,0.07,3.6,0.08,0.33,0.02,92.31,77.64,5.58,0.09,0,0,11.7
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2016,495.18,20.97,1.26,0.07,8.03,0.04,2.46,0.23,54.33,103.88,0.37,0.04,0.01,0,0.6
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2017,382.81,17.3,0.18,0.02,0.54,1.4,0.32,0,74.35,84.11,0.03,0,0.3,0,0.22
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2018,571.16,9.22,0.67,0.09,0.04,5.59,1.63,2.44,1584.37,80.46,1.32,0.24,0.04,0,10.91
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2019,240.29,10.92,0.73,0.06,0.24,0,0.02,0.63,491.08,79.21,0.82,0,0.08,0.02,12.81
22,"Bobcat",35.19705633,-106.6439494,"Angostura Reach",2020,449.94,20.65,0.02,0.29,0.01,0.09,2.44,1.5,67.95,121.62,2.31,0.01,0.19,0,16.41
