year	month	day	site	ppt_canopy	ppt_open	ppt_canopy_trace	ppt_open_canopy
2018	10	16	2				
2018	10	16	3				
2018	10	16	4				
2018	10	16	5				
2018	10	16	6				
2018	10	16	7				
2018	10	16	8				
2018	10		9				
2018	10	16	10		31.0		
2018	10	20	11				
2018	10	19	12				
2018	10	16	13				
2018	10	18	14				
2018	10	17	15				
2018	10	16	16				
2018	10	15	17				
2018	10	15	18				
2018	10	15	19				
2018	10	18	20				
2018	10	17	21				
2018	10		22				
2018	10	18	23				
2018	10	19	24				
2018	10	16	25				
2018	10		26				
2018	10	19	27				
2018	10	18	28				
2018	10	18	29				
2018	10	15	30				
2018	10		31				
2018	10		32				
2018	10		33				
2018	11	16	1	.			
2018	11	20	2	0.3	0.5		
2018	11	19	3	.	.		
2018	11	20	4	30.0	34.0		
2018	11	20	5	.	.		
2018	11	16	6	.	.		
2018	11	15	7	25.0	.		
2018	11	19	8	.	49.0		
2018	11	.	9	.	.		
2018	11	16	10	32.0	40.0		
2018	11	17	11	38.0	48.0		
2018	11	16	12	30.0	47.0		
2018	11	20	13	25.0	40.0		
2018	11	15	14	25.0	27.0		
2018	11	20	15	24.0	33.0		
2018	11	20	16	22.0	40.0		
2018	11	14	17	24.0	52.0		
2018	11	14	18	19.0	35.0		
2018	11	14	19	27.0	35.0		
2018	11	20	20	.	.		
2018	11	14	21	39.0	50.0		
2018	11	17	22	32.0	43.0		
2018	11	15	23	35.0	48.0		
2018	11	15	24	25.0	50.0		
2018	11	20	25	1.5	37.0		
2018	11	20	26	21.0	39.0		
2018	11	16	27	.	.		
2018	11	20	28	.	.		
2018	11	19	29	17.0	42.0		
2018	11	20	30	29.0	29.0		
2018	11	14	31	20.0	18.0		
2018	11	14	32	11.0	3.0		
2018	11	20	33	17.0	22.5		
2018	12	17	1	2.3	4.0		
2018	12	18	2	3.0	3.5		
2018	12	21	3	1.0	1.5		
2018	12	18	4	1.0	2.0		
2018	12	17	5	3.5	4.0		
2018	12	19	6	1.5	5.0		
2018	12	20	7	0.0	0.0		
2018	12	17	8	1.0	2.5		
2018	12	.	9	.	.		
2018	12	19	10	2.5	4.5		
2018	12	20	11	1.5	4.0		
2018	12	20	12	1.0	6.0		
2018	12	19	13	0.5	15.0		
2018	12	20	14	0.0	0.0		
2018	12	18	15	1.0	4.5		
2018	12	18	16	4.0	9.0		
2018	12	18	17	1.5	4.5		
2018	12	17	18	0.0	0.0		
2018	12	17	19	0.0	0.0		
2018	12	19	20	1.0	3.0		
2018	12	20	21	1.0	4.0		
2018	12	22	22	2.0	4.0		
2018	12	19	23	2.0	3.0		
2018	12	.	24	.	.		
2018	12	18	25	0.0	0.0		
2018	12		26				
2018	12	18	27				
2018	12	17	28				
2018	12	19	29	0.1	0.0		
2018	12	17	30	3.0	4.0		
2018	12	19	31	0.8	1.3		
2018	12	20	32	2.0			
2018	12	21	33	3.5	5.0		
2019	1	18	1	18.0	21.0		
2019	1	15	2	13.0	14.0		
2019	1	14	3	13.0	30.0		
2019	1	15	4	.	36.0		
2019	1	16	5	14.0	22.0		
2019	1	16	6	.	.		
2019	1	17	7	19.0	20.0		
2019	1	14	8	15.0	18.5		
2019	1	.	9	.	.		
2019	1	15	10	14.0	20.0		
2019	1	19	11	14.0	22.0		
2019	1	18	12	.	21.0		
2019	1	15	13	11.0	19.0		
2019	1	19	14	.	18.5		
2019	1	16	15	22.5	34.0		
2019	1	15	16	20.0	35.0		
2019	1	18	17	9.5	18.7		
2019	1	16	18	17.0	35.0		
2019	1	16	19	26.0	30.0		
2019	1	16	20	6.0	17.0		
2019	1	16	21	13.0	17.0		
2019	1	19	22	10.0	16.0		
2019	1	20	23	12.3	.		
2019	1	18	24	23.0	.		
2019	1	15	25	.	37.0		
2019	1		26				
2019	1	19	27	.	.		
2019	1	17	28				
2019	1	18	29	13.0	20.0		
2019	1	14	30	15.0	16.0		
2019	1	16	31	12.0	19.0		
2019	1	17	32	17.0	.		
2019	1	17	33	15.0	23.0		
2019	2	20	1	.	6.2		
2019	2	20	2	3.5	4.5		
2019	2	25	3	4.0	12.0		
2019	2	21	4	1.8	7.5		
2019	2	25	5	6.0	13.0		
2019	2	21	6	4.2	7.0		
2019	2	21	7	2.0	5.5		
2019	2	26	8	7.5	10.0		
2019	2		9				
2019	2	20	10	11.0	9.0		
2019	2	23	11	4.5	10.0		
2019	2	25	12	.	10.0		
2019	2	20	13	2.0	5.0		
2019	2	21	14	4.5	5.5		
2019	2	20	15	2.0	7.0		
2019	2	25	16	6.0	9.5		
2019	2	21	17	2.5	6.5		
2019	2	20	18	2.3	5.0		
2019	2	20	19	3.5	5.3		
2019	2	20	20	1.3	6.0		
2019	2	20	21	4.0	4.4		
2019	2	23	22	4.0	10.0		
2019	2	21	23	2.5	5.0		
2019	2	22	24	3.0	.		
2019	2	21	25	.	4.5		
2019	2		26				
2019	2	25	27	.	.		
2019	2	20	28	.	.		
2019	2	20	29	2.0	4.0		
2019	2	20	30	4.5	4.0		
2019	2	20	31	2.5	4.5		
2019	2	21	32	4.0	7.0		
2019	2	21	33	0.8	1.3		
2019	3	20	1	0.0	15.0		
2019	3	19	2	14.0	11.0		
2019	3	18	3	.	9.3		
2019	3	19	4	4.5	11.8		
2019	3	19	5	11.0	14.0		
2019	3	18	6	16.0	27.0		
2019	3	21	7	6.0	8.5		
2019	3	18	8	10.5	16.0		
2019	3		9				
2019	3	21	10	4.6	17.0		
2019	3	23	11	5.0	10.0		
2019	3	22	12	.	43.0		
2019	3	19	13	9.5	17.0		
2019	3	21	14	9.5	9.5		
2019	3	20	15	4.5	10.5		
2019	3	19	16	4.5	6.0		
2019	3	19	17	5.0	16.0		
2019	3	20	18	4.0	11.0		
2019	3	20	19	6.0	11.0		
2019	3	20	20	7.3	15.0		
2019	3	20	21	7.0	13.0		
2019	3	23	22	10.0	9.5		
2019	3	21	23	13.2	19.8		
2019	3	22	24	38.0	.		
2019	3	19	25	.	11.5		
2019	3		26				
2019	3	22	27	.	.		
2019	3	21	28	.	.		
2019	3	20	29	8.0	19.0		
2019	3	18	30	42.0	56.0		
2019	3	20	31	11.0	19.0		
2019	3	21	32	11.0	18.0		
2019	3	22	33	9.0	15.0		
2019	4	15	1	3.0	3.3		
2019	4	16	2	2.1	2.5		
2019	4	15	3	4.5	.		
2019	4	16	4	3.0	3.9		
2019	4	16	5	2.0	3.0		
2019	4	18	6	9.0	13.0		
2019	4	18	7	16.0	18.0		
2019	4	15	8	1.4	3.3		
2019	4	17	10	4.5	8.5		
2019	4	20	11	7.5	13.0		
2019	4	16	12	1.0	4.3		
2019	4	18	13	16.0	.		
2019	4	18	14	14.0	18.0		
2019	4	17	15	13.0	19.0		
2019	4	16	16	2.3	4.0		
2019	4	18	17	4.5	16.0		
2019	4	17	18	11.0	19.0		
2019	4	17	19	16.3	18.0		
2019	4	17	20	3.0	8.5		
2019	4	17	21	4.0	6.5		
2019	4	20	22	4.0	11.5		
2019	4	18	23	13.0	16.0		
2019	4	12	24	3.8	.		
2019	4	16	25	3.5	5.3		
2019	4		26				
2019	4	15	27	.	.		
2019	4	18	28	.	.		
2019	4	17	29	3.5	11.0		
2019	4	15	30	4.0	4.5		
2019	4	17	31	7.0	3.5		
2019	4	26	32	7.0	11.0		
2019	4	18	33	.	4.0		
2019	4	18	34	.	.		
2019	5	20	1	15.0	43.0		
2019	5	21	2	16.0	.		
2019	5	23	3	16.0	23.0		
2019	5	21	4	.	40.0		
2019	5	24	5	19.0	24.0		
2019	5	25	6	5.0	9.5		
2019	5	24	7	7.5	12.5		
2019	5	22	8	19.0	29.0		
2019	5	20	10	15.0	35.0		
2019	5	20	11	22.0	32.0		
2019	5	20	12	10.0	39.0		
2019	5	20	13	3.3	13.0		
2019	5	24	14	10.0	8.5		
2019	5	21	15	16.0	29.0		
2019	5	21	16	25.0	33.0		
2019	5	24	17	3.5	15.0		
2019	5	23	18	11.0	29.0		
2019	5	23	19	19.0	28.5		
2019	5	21	20	.	17.5		
2019	5	22	21	19.0	33.0		
2019	5	20	22	11.0	30.0		
2019	5	22	23	15.5	14.0		
2019	5	24	24	.	38.0		
2019	5	21	25	36.0	48.0		
2019	5	19	26	6.0	10.0		
2019	5	21	27	.	.		
2019	5	22	28	.	.		
2019	5	20	29	9.0	23.0		
2019	5	22	30	20.0	26.0		
2019	5	22	31	12.0	24.0		
2019	5	24	32	4.0	12.0		
2019	5	22	33	.	.		
2019	5	22	34	15.0	27.0		
2019	6	21	1	0.1	2.0	>.5	
2019	6	18	2	0.8	0.0		
2019	6	20	3	.	.		
2019	6	18	4	3.5	5.0		
2019	6	17	5	0.5	0.8		
2019	6	17	6	0.0	0.0		
2019	6	20	7	8.5	11.0		
2019	6	19	8	0.5	1.5		
2019	6	21	10	0.1	0.1	>.5	>.5
2019	6	19	11	0.5	2.0		
2019	6	18	12	0.0	2.0		
2019	6	17	13	0.1	2.3	<.5	
2019	6	20	14	18.0	20.5		
2019	6	18	15	1.5	5.0		
2019	6	18	16	2.0	4.5		
2019	6	20	17	0.0	0.0		
2019	6	20	18	0.1	3.5	<0.5 	
2019	6	20	19	.	4.0		
2019	6	19	20	0.8	0.3		
2019	6	18	21	0.0	.		
2019	6	18	22	.	1.8		
2019	6	20	23	.	1.3		
2019	6	17	24	.	5.0		
2019	6	18	25	2.0	4.5		
2019	6	27	26	27.0	.		
2019	6	21	27	.	.		
2019	6	12	28	.	.		
2019	6	17	29	0.8	1.5		
2019	6	19	30	5.5	7.0		
2019	6	17	31	0.0	2.5		
2019	6	17	32	0.0	0.5		
2019	6	20	33	.	.		
2019	6	20	34	.	.		
2019	7	15	1	9.0	14.0		
2019	7	17	2	20.0	24.5		
2019	7	15	3	.	.		
2019	7	16	4	7.5	7.0		
2019	7	15	5	5.0	9.0		
2019	7	15	6	7.0	21.0		
2019	7	16	7	15.0	9.0		
2019	7	18	8	23.0	37.5		
2019	7	15	10	7.0	15.0		
2019	7	16	11	9.0	15.0		
2019	7	16	12	4.5	11.0		
2019	7	16	13	12.5	16.0		
2019	7	16	14	1.8	7.0		
2019	7	16	15	.	7.6		
2019	7	16	16	4.0	6.5		
2019	7	15	17	3.5	21.0		
2019	7	15	18	4.5	7.0		
2019	7	15	19	1.5	7.5		
2019	7	17	20	8.0	18.0		
2019	7	16	21	4.5	12.5		
2019	7	16	22	.	13.0		
2019	7	17	23	1.0	14.0		
2019	7	15	24	2.5	8.0		
2019	7	16	25	4.3	7.5		
2019	7	19	26	1.3	3.0		
2019	7	16	27	.	.		
2019	7	18	28	.	.		
2019	7	18	29	4.5	12.0		
2019	7	18	30	16.0	19.0		
2019	7	18	31	10.5	14.0		
2019	7	15	32	4.5	5.5		
2019	7	.	33	.	.		
2019	7	.	34	.	.		
2019	8	20	1	10.0	29.0		
2019	8	22	2	28.5	21.5		
2019	8	19	3	.	27.0		
2019	8	20	4	22.5	24.5		
2019	8	23	5	45.5	67.0		
2019	8	22	6	9.5	1.5		
2019	8	19	7	19.5	32.0		
2019	8	22	8	13.0	23.0		
2019	8	20	10	.	26.0		
2019	8	20	11	16.0	31.0		
2019	8	20	12	7.0	25.0		
2019	8	22	13	5.5	14.0		
2019	8	19	14	16.0	21.5		
2019	8	20	15	10.5	27.0		
2019	8	20	16	13.0	25.0		
2019	8	21	17	15.0	38.0		
2019	8	19	18	10.5	30.5		
2019	8	19	19	19.0	28.0		
2019	8	22	20	17.0	35.0		
2019	8	20	21	6.0	20.0		
2019	8	20	22	5.5	21.0		
2019	8	22	23	23.0	37.0		
2019	8	23	24	5.5	20.0		
2019	8	20	25	16.0	29.0		
2019	8	23	26	7.0	16.0		
2019	8	19	27	.	.		
2019	8	20	28	.	.		
2019	8	22	29	19.0	7.5		
2019	8	20	30	16.0	20.0		
2019	8	20	31	7.0	14.0		
2019	8	23	32	18.0	24.0		
2019	8	19	33	16.0	.		
2019	8	19	34	15.0	.		
2019	9	17	1	25.0	37.0		
2019	9	17	2	18.0	11.0		
2019	9	25	3	6.5	16.0		
2019	9	17	4	3.6	11.0		
2019	9	17	5	4.0	8.5		
2019	9	19	6	8.5	28.0		
2019	9	19	7	.	.		
2019	9	18	8	6.8	18.0		
2019	9	18	10	17.0	32.0		
2019	9	21	11	25.5	38.0		
2019	9	20	12	18.0	40.0		
2019	9	17	13	3.5	8.5		
2019	9	19	14	8.0	14.0		
2019	9	19	15	10.5	5.0		
2019	9	16	16	1.5	5.5		
2019	9	16	17	10.1	22.5		
2019	9	17	18	2.5	11.0		
2019	9	17	19	4.0	12.0		
2019	9	18	20	13.5	25.0		
2019	9	18	21	85.0	36.0		
2019	9	21	22	22.0	37.0		
2019	9	19	23	14.0	23.0		
2019	9	20	24	6.5	19.0		
2019	9	17	25	7.2	8.0		
2019	9	19	26	13.0	27.0		
2019	9	20	27	.	.		
2019	9	.	28	.	.		
2019	9	16	29	0.5	6.3		
2019	9	19	30	5.5	6.5		
2019	9	16	31	3.5	6.0		
2019	9	20	32	6.5	21.0		
2019	9	20	33	10.0	.		
2019	9	20	34	2.3	.		
2019	10	14	1	44.5	12.0		
2019	10	15	2	8.0	8.0		
2019	10	16	3	14.0	15.0		
2019	10	15	4	30.5	40.0		
2019	10	15	5	13.0	17.8		
2019	10	14	6	6.0	11.0		
2019	10	17	7	7.0	.		
2019	10	14	8	16.5	21.0		
2019	10	16	10	8.5	14.0		
2019	10	19	11	10.5	14.0		
2019	10	16	12	11.0	15.0		
2019	10	15	13	10.0	17.0		
2019	10	17	14	.	4.5		
2019	10	17	15	39.0	39.0		
2019	10	14	16	40.0	45.0		
2019	10	18	17	7.0	16.0		
2019	10	15	18	31.0	43.0		
2019	10	15	19	45.0	43.0		
2019	10	16	20	6.5	7.5		
2019	10	16	21	9.0	4.0		
2019	10	19	22	9.0	14.6		
2019	10	17	23	6.5	12.0		
2019	10	18	24	7.0	14.0		
2019	10	15	25	26.5	38.0		
2019	10	16	26	8.0	13.0		
2019	10	19	27	.	.		
2019	10	.	28	.	.		
2019	10	14	29	4.0	24.0		
2019	10	17	30	17.0	18.0		
2019	10	14	31	25.0	21.0		
2019	10	18	32	6.0	13.0		
2019	10	18	33	15.0	.		
2019	10	18	34	19.0	16.0		
2019	11	21	1	17.0	21.0		
2019	11	19	2	5.0	5.5		
2019	11	21	3	18.0	22.0		
2019	11	19	4	3.0	5.0		
2019	11	19	5	8.0	8.5		
2019	11	19	6	2.5	7.0		
2019	11	21	7	25.5	26.5		
2019	11	20	8	11.0	12.0		
2019	11	18	10	.	1.0		
2019	11	23	11	21.0	27.0		
2019	11	19	12	3.5	8.0		
2019	11	21	13	23.0	28.0		
2019	11	21	14	24.0	30.0		
2019	11	21	15	15.5	18.0		
2019	11	18	16	3.0	3.5		
2019	11	20	17	2.3	10.5		
2019	11	21	18	13.0	17.0		
2019	11	21	19	10.0	15.0		
2019	11	20	20	6.0	12.0		
2019	11	20	21	11.0	14.0		
2019	11	23	22	14.5	28.0		
2019	11	21	23	17.0	22.0		
2019	11	15	24	2.0	4.0		
2019	11	19	25	2.7	5.0		
2019	11	23	26	5.5	10.0		
2019	11	22	27	.	.		
2019	11	.	28	.	.		
2019	11	18	29	1.3	5.0		
2019	11	21	30	18.5	24.0		
2019	11	18	31	3.0	2.3		
2019	11	25	32	24.0	36.0		
2019	11	22	33	24.0	.		
2019	11	22	34	40.0	33.0		
2019	12	16	1	30.0	33.0		
2019	12	17	2	36.0	.		
2019	12	18	3	.	19.0		
2019	12	17	4	68.0	.		
2019	12	17	5	43.0	56.0		
2019	12	19	6	23.0	50.5		
2019	12	19	7	25.0	24.0		
2019	12	18	8	34.0	39.0		
2019	12	17	10	43.0	43.0		
2019	12	16	11	21.0	30.0		
2019	12	19	12	39.0	45.0		
2019	12	18	13	26.0	28.0		
2019	12	19	14	.	.		
2019	12	16	15	23.0	29.0		
2019	12	16	16	35.0	.		
2019	12	19	17	.	41.0		
2019	12	19	18	32.0	32.0		
2019	12	19	19	32.0	35.0		
2019	12	16	20	29.0	42.0		
2019	12	16	21	16.0	26.0		
2019	12	21	22	0.5	0.5		
2019	12	19	23	28.0	35.0		
2019	12	.	24	.	.		
2019	12	17	25	37.0	42.0		
2019	12	19	26	22.0	46.0		
2019	12	17	27	.	.		
2019	12	.	28	.	.		
2019	12	18	29	27.0	47.0		
2019	12	19	30	19.0	23.0		
2019	12	16	31	45.0	50.0		
2019	12	20	32	19.0	23.0		
2019	12	18	33	42.0	41.0		
2019	12	18	34	45.0	32.0		
2020	1	24	1	12.5	16.0		
2020	1	24	2	11.0	12.0		
2020	1	21	3	.	.		
2020	1	21	4	12.0	7.0		
2020	1	21	5	17.0	2.5		
2020	1	21	6	30.0	13.0		
2020	1	23	7	4.3	7.3		
2020	1	22	8	10.5	13.0		
2020	1	23	10	8.0	18.0		
2020	1	24	11	.	.		
2020	1	24	12	9.0	16.0		
2020	1	23	13	7.5	12.0		
2020	1	23	14	.	.		
2020	1	23	15	5.0	.		
2020	1	21	16	4.0	6.0		
2020	1	23	17	7.0	16.0		
2020	1	23	18	2.0	7.0		
2020	1	21	19	.	7.5		
2020	1	27	20	4.0	12.5		
2020	1	22	21	3.5	4.5		
2020	1	25	22	.	17.0		
2020	1	23	23	9.5	13.0		
2020	1	24	24	7.0	.		
2020	1	21	25	5.5	7.5		
2020	1	21	26	1.0	1.5		
2020	1	24	27	.	.		
2020	1	.	28	.	.		
2020	1	21	29	4.5	12.0		
2020	1	21	30	7.5	8.5		
2020	1	21	31	8.0	9.0		
2020	1	27	32	.	.		
2020	1	24	33	5.5	9.5		
2020	1	24	34	10.0	10.0		
2020	2	19	1	10.0	.		
2020	2	18	2	8.5	9.0		
2020	2	19	3	.	.		
2020	2	18	4	21.0	17.0		
2020	2	18	5	15.9	.		
2020	2	21	6	.	14.0		
2020	2	20	7	13.0	16.0		
2020	2	19	8	7.0	9.0		
2020	2	20	10	7.5	12.1		
2020	2	22	11	7.5	12.5		
2020	2	21	12	5.5	3.0		
2020	2	20	13	9.5	10.5		
2020	2	20	14	.	16.0		
2020	2	20	15	10.0	.		
2020	2	18	16	10.0	15.0		
2020	2	20	17	8.5	12.2		
2020	2	20	18	9.0	14.0		
2020	2	20	19	.	15.0		
2020	2	19	20	5.0	9.5		
2020	2	19	21	7.0	11.0		
2020	2	22	22	7.5	10.5		
2020	2	20	23	6.5	9.0		
2020	2	21	24	6.5	.		
2020	2	18	25	13.2	18.3		
2020	2	21	26	11.5	23.0		
2020	2	21	27	.	.		
2020	2	.	28	.	.		
2020	2	18	29	6.5	12.0		
2020	2	18	30	11.5	12.0		
2020	2	21	31	7.5	10.0		
2020	2	21	32	.	.		
2020	2	21	33	31.0	40.0		
2020	2	21	34	32.0	37.0		
2020	3	18	1	10.5	9.5		
2020	3	20	2	8.5	10.0		
2020	3	16	3	.	20.0		
2020	3	17	4	6.5	.		
2020	3	20	5	17.0	.		
2020	3	17	6	< 0.5	11.0		
2020	3	17	7	21.0	21.0		
2020	3	18	8	0.0	20.0		
2020	3	18	10	9.0	13.0		
2020	3	18	11	8.0	16.0		
2020	3	18	12	10.0	.		
2020	3	20	13	10.0	15.0		
2020	3	17	14	6.0	14.0		
2020	3	17	15	4.6	.		
2020	3	17	16				
2020	3	17	17	24.0	11.0		
2020	3	16	18	5.0	12.0		
2020	3	16	19	.	12.0		
2020	3	20	20	2.0	9.5		
2020	3	18	21	10.0	13.0		
2020	3	18	22	9.5	16.0		
2020	3	21	23	9.0	11.5		
2020	3	.	24				
2020	3	17	25	13.0	16.0		
2020	3	19	26	32.0	54.0		
2020	3	16	27	.	.		
2020	3	.	28	.	.		
2020	3	18	29	.	12.5		
2020	3	20	30	10.0	11.0		
2020	3	20	31	10.0	15.5		
2020	3	20	32	11.0	18.0		
2020	3	17	33	13.0	20.0		
2020	3	17	34	6.5	17.5		
2020	4	23	1	6.5	8.0		
2020	4	26	2	4.3	5.0		
2020	4	24	3	0.0	0.0		
2020	4	21	4	13.0	11.5		
2020	4	.	5				
2020	4	22	6	3.5	7.0		
2020	4	20	7	2.5	4.0		
2020	4	22	8	5.5	10.0		
2020	4	23	10	3.0	8.5		
2020	4	24	11	3.8	8.0		
2020	4	24	12	2.5	2.5		
2020	4	22	13	3.5	8.0		
2020	4	20	14	4.5	8.0		
2020	4	21	15	9.5	13.0		
2020	4	21	16	7.0	13.0		
