location,inverse depth,depth,Elevation ~,
0,0,0,1502,
3,-3.9,3.9,,
6,-2.7,2.7,,
9,0,0,,
12,-3.7,3.7,,
15,-5,5,,
18,-1.8,1.8,,
21,-3.6,3.6,,
24,-6.4,6.4,,
27,-8.7,8.7,,
30,-10,10,,
33,-16.3,16.3,,
36,-16.7,16.7,,
39,-15.4,15.4,,
42,-14.5,14.5,,
45,-14.9,14.9,,
48,-15,15,,
51,-14.9,14.9,,
54,-16.8,16.8,,
57,-15.5,15.5,,
60,-16.1,16.1,,
63,-13.7,13.7,,
66,-4.9,4.9,,
69,-4.9,4.9,,
69.87,0,0,1502,1526
