Site number,Site name,History,Year,Install month,Flood,Fire,Cleared,Flooding,cottonwood age,Cottonwood age structure
1,Alameda,,1997,3,0,0,0,nonflood,old,Mature
1,Alameda,,1998,.,0,0,0,nonflood,old,Mature
1,Alameda,,1999,.,0,0,0,nonflood,old,Mature
1,Alameda,,2000,.,0,0,0,nonflood,old,Mature
1,Alameda,,2001,.,0,0,0,nonflood,old,Mature
1,Alameda,,2002,.,0,0,0,nonflood,old,Mature
1,Alameda,,2003,.,0,0,0,nonflood,old,Mature
1,Alameda,Cleared,2004,.,0,0,1,nonflood,old,Mature
1,Alameda,Water diversion,2005,.,0,0,0,nonflood,old,Mature
1,Alameda,Water diversion,2006,.,0,0,0,nonflood,old,Mature
1,Alameda,Mulch,2007,.,0,0,0,nonflood,old,Mature
1,Alameda,,2008,.,0,0,0,nonflood,old,Mature
1,Alameda,,2009,.,0,0,0,nonflood,old,Mature
1,Alameda,,2010,.,0,0,0,nonflood,old,Mature
1,Alameda,,2011,.,0,0,0,nonflood,old,Mature
1,Alameda,Water diversion,2012,.,0,0,0,nonflood,old,Mature
1,Alameda,,2013,.,0,0,0,nonflood,old,Mature
1,Alameda,,2014,.,0,0,0,nonflood,old,Mature
1,Alameda,,2015,.,0,0,0,nonflood,old,Mature
1,Alameda,,2016,.,0,0,0,nonflood,old,Mature
1,Alameda,,2017,.,0,0,0,nonflood,old,Mature
1,Alameda,,2018,.,0,0,0,nonflood,old,Mature
1,Alameda,,2019,.,0,0,0,nonflood,old,Mature
1,Alameda,,2020,.,0,0,0,nonflood,old,Mature
1,Alameda,,2021,.,0,0,0,nonflood,old,Mature
2,Rio Grande Nature Center,,1997,6,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,1998,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,1999,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2000,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2001,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2002,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2003,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,Cleared,2004,.,0,0,1,nonflood,mature,Mature
2,Rio Grande Nature Center,Water diversion,2005,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,Water diversion,2006,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2007,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2008,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2009,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2010,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2011,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2012,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2013,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2014,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2015,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2016,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2017,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2018,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2019,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2020,.,0,0,0,nonflood,mature,Mature
2,Rio Grande Nature Center,,2021,.,0,0,0,nonflood,mature,Mature
3,Los Lunas,,1997,10,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,1998,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,1999,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2000,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2001,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2002,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2003,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2004,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2005,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2006,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,Fire,2007,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2008,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,Seep flood,2009,.,1,0,0,flood,old,Mature-mixed
3,Los Lunas,,2010,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2011,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2012,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2013,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2014,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2015,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,,2016,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,Seep flood,2017,.,1,0,0,flood,old,Mature-mixed
3,Los Lunas,Seep flood,2018,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,Seep flood,2019,.,1,0,0,flood,old,Mature-mixed
3,Los Lunas,Seep flood,2020,.,0,0,0,flood,old,Mature-mixed
3,Los Lunas,Seep flood,2021,.,0,0,0,flood,old,Mature-mixed
4,Belen,Overbank flood,1998,2,1,0,0,flood,young,Mature-mixed
4,Belen,Overbank flood,1999,.,1,0,0,flood,young,Mature-mixed
4,Belen,,2000,.,0,0,0,flood,young,Mature-mixed
