Site,Age,Mean depth of litter,Mean fuel depth,Mean tons per acre,Total canopy cover,Total herbaceous cover,Percent bare ground,Percent litter
Minbar1,5,1,3.333333333,0,54,33.875,8,57.875
Minbar3,10,1.5,42,4.02,84.625,16.875,23.625,76
LosIsle3,10,0,0,0.4,94.375,33.625,5.875,89.375
HarIsle1,15,1.75,0,2.25,189.375,13.375,26.875,69.75
HarIsle3,15,0.5,0,3.52,103.75,21.625,20.75,73.125
LosIsle1,19,2.5,36,19.7,121.75,8.375,0.25,93.5
