Site,Percent cottonwood cover,Percent coyote willow cover,Percent elm cover,Percent Gooding's willow cover,Percent russian olive cover,Percent saltcedar cover,Percent seepwillow cover
MinBar1,3.375,43.125,0,0,3.75,3.75,0
MinBar3,16.875,53.125,0,0,5,3.375,0
HarIsle1,15,55.625,64.375,5,32.5,16.875,0
HarIsle3,13.75,23.75,28.75,0.625,36.25,0.625,0
LosIsle1,89.375,7.375,24.75,0,0,0,0.25
LosIsle3,2.5,66.5,37.5,0,0,0.125,0
