Site,Estimated age of establishment,Notes
MinBar1,5,"Google eEarth, first appearance of vegetation used to determine age"
MinBar3,10,"Google earth, first appearance of vegetation used to determine age"
LosIsle3,10,"Google earth, first appearance of vegetation used to determine age"
HarIsle1,15,"Google earth, first appearance of vegetation used to determine age"
HarIsle3,15,"Google earth, first appearance of vegetation used to determine age"
LosIsle1,19,"Google earth, first appearance of vegetation used to determine age"
